Acanthocheilonema viteae (PRJEB1697)
Acrobeloides nanus (PRJEB26554)
Allodiplogaster sudhausi (PRJEB48369)
Ancylostoma caninum (PRJNA72585)
Ancylostoma ceylanicum (PRJNA231479)
Ancylostoma ceylanicum (PRJNA72583)
Ancylostoma duodenale (PRJNA72581)
Angiostrongylus cantonensis (PRJEB493)
Angiostrongylus cantonensis (PRJNA350391)
Angiostrongylus costaricensis (PRJEB494)
Angiostrongylus vasorum (PRJNA663250)
Anisakis simplex (PRJEB496)
Aphelenchoides besseyi (AORJPRJNA834627)
Aphelenchoides besseyi (AORTPRJNA834627)
Aphelenchoides besseyi (APFTPRJNA834627)
Aphelenchoides besseyi (APVTPRJNA834627)
Aphelenchoides bicaudatus (PRJNA834627)
Aphelenchoides fujianensis (PRJNA834627)
Ascaris lumbricoides (PRJEB4950)
Ascaris suum (PRJNA62057)
Ascaris suum (PRJNA80881)
Atriophallophorus winterbourni (PRJNA636673)
Auanema sp. JU1783 (PRJEB51845)
Bradynema listronoti (PRJNA842945)
Brugia malayi (PRJNA10729)
Brugia pahangi (PRJEB497)
Brugia timori (PRJEB4663)
Bunonema sp. RGD898 (PRJNA655932)
Bursaphelenchus okinawaensis (PRJEB40023)
Bursaphelenchus xylophilus (PRJEA64437)
Bursaphelenchus xylophilus (PRJEB40022)
Caenorhabditis angaria (PRJNA51225)
Caenorhabditis auriculariae (PRJEB40642)
Caenorhabditis becei (PRJEB28243)
Caenorhabditis bovis (PRJEB34497)
Caenorhabditis brenneri (PRJNA20035)
Caenorhabditis briggsae (PRJNA10731)
Caenorhabditis briggsae (QX1410PRJNA784955)
Caenorhabditis briggsae (VX34PRJNA784955)
Caenorhabditis elegans (PRJNA13758)
Caenorhabditis inopinata (PRJDB5687)
Caenorhabditis japonica (PRJNA12591)
Caenorhabditis latens (PRJNA248912)
Caenorhabditis nigoni (PRJNA384657)
Caenorhabditis panamensis (PRJEB28259)
Caenorhabditis parvicauda (PRJEB12595)
Caenorhabditis quiockensis (PRJEB11354)
Caenorhabditis remanei (PRJNA248909)
Caenorhabditis remanei (PRJNA248911)
Caenorhabditis remanei (PRJNA53967)
Caenorhabditis remanei (PRJNA577507)
Caenorhabditis sinica (PRJNA194557)
Caenorhabditis sulstoni (PRJEB12601)
Caenorhabditis tribulationis (PRJEB12608)
Caenorhabditis tropicalis (PRJNA53597)
Caenorhabditis uteleia (PRJEB12600)
Caenorhabditis waitukubuli (PRJEB12602)
Caenorhabditis zanzibari (PRJEB12596)
Cercopithifilaria johnstoni (PRJEB47283)
Clonorchis sinensis (PRJDA72781)
Clonorchis sinensis (PRJNA386618)
