Gene stable ID,is_gpcr_evidence,is_gpcr
Wban_00001,Encodes protein that lacks InterPro GPCR domains,False
Wban_00002,Encodes protein that lacks InterPro GPCR domains,False
Wban_00003,Encodes protein that lacks InterPro GPCR domains,False
Wban_00004,Encodes protein that lacks InterPro GPCR domains,False
Wban_00005,Encodes protein that lacks InterPro GPCR domains,False
Wban_00006,Encodes protein that lacks InterPro GPCR domains,False
Wban_00007,Encodes protein that lacks InterPro GPCR domains,False
Wban_00008,Encodes protein that lacks InterPro GPCR domains,False
Wban_00009,Encodes protein that lacks InterPro GPCR domains,False
Wban_00010,Encodes protein that lacks InterPro GPCR domains,False
Wban_00011,Encodes protein that lacks InterPro GPCR domains,False
Wban_00012,Encodes protein that lacks InterPro GPCR domains,False
Wban_00013,Encodes protein that lacks InterPro GPCR domains,False
Wban_00014,Encodes protein that lacks InterPro GPCR domains,False
Wban_00015,Encodes protein that lacks InterPro GPCR domains,False
Wban_00016,Encodes protein that lacks InterPro GPCR domains,False
Wban_00017,Encodes protein that lacks InterPro GPCR domains,False
Wban_00018,Encodes protein that lacks InterPro GPCR domains,False
Wban_00019,Encodes protein that lacks InterPro GPCR domains,False
Wban_00020,Encodes protein that lacks InterPro GPCR domains,False
Wban_00021,Encodes protein that lacks InterPro GPCR domains,False
Wban_00022,Encodes protein that lacks InterPro GPCR domains,False
Wban_00023,Encodes protein that lacks InterPro GPCR domains,False
Wban_00024,Encodes protein that lacks InterPro GPCR domains,False
Wban_00025,Encodes protein that lacks InterPro GPCR domains,False
Wban_00026,Encodes protein that lacks InterPro GPCR domains,False
Wban_00027,Encodes protein that lacks InterPro GPCR domains,False
Wban_00028,Encodes protein that lacks InterPro GPCR domains,False
Wban_00029,Encodes protein that lacks InterPro GPCR domains,False
Wban_00030,Encodes protein that lacks InterPro GPCR domains,False
Wban_00031,Encodes protein that lacks InterPro GPCR domains,False
Wban_00032,Encodes protein that lacks InterPro GPCR domains,False
Wban_00033,Encodes protein that lacks InterPro GPCR domains,False
Wban_00034,Encodes protein that lacks InterPro GPCR domains,False
Wban_00035,Encodes protein that lacks InterPro GPCR domains,False
Wban_00036,Encodes protein that lacks InterPro GPCR domains,False
Wban_00037,Encodes protein that lacks InterPro GPCR domains,False
Wban_00038,Encodes protein that lacks InterPro GPCR domains,False
Wban_00039,Encodes protein that lacks InterPro GPCR domains,False
Wban_00040,Encodes protein that lacks InterPro GPCR domains,False
Wban_00041,Encodes protein that lacks InterPro GPCR domains,False
Wban_00042,Encodes protein that lacks InterPro GPCR domains,False
Wban_00043,Encodes protein that lacks InterPro GPCR domains,False
Wban_00044,Encodes protein that lacks InterPro GPCR domains,False
Wban_00045,Encodes protein that lacks InterPro GPCR domains,False
Wban_00046,Encodes protein that lacks InterPro GPCR domains,False
Wban_00047,Encodes protein that lacks InterPro GPCR domains,False
Wban_00048,Encodes protein that lacks InterPro GPCR domains,False
Wban_00049,Encodes protein that lacks InterPro GPCR domains,False
Wban_00050,Encodes protein that lacks InterPro GPCR domains,False
Wban_00051,Encodes protein that lacks InterPro GPCR domains,False
Wban_00052,Encodes protein that lacks InterPro GPCR domains,False
Wban_00053,Encodes protein that lacks InterPro GPCR domains,False
Wban_00054,Encodes protein that lacks InterPro GPCR domains,False
Wban_00055,Encodes protein that lacks InterPro GPCR domains,False
Wban_00056,Encodes protein that lacks InterPro GPCR domains,False
Wban_00057,Encodes protein that lacks InterPro GPCR domains,False
Wban_00058,Encodes protein that lacks InterPro GPCR domains,False
Wban_00059,Encodes protein that lacks InterPro GPCR domains,False
Wban_00060,Encodes protein that lacks InterPro GPCR domains,False
Wban_00061,Encodes protein that lacks InterPro GPCR domains,False
Wban_00062,Encodes protein that lacks InterPro GPCR domains,False
Wban_00063,Encodes protein that lacks InterPro GPCR domains,False
Wban_00064,Encodes protein that lacks InterPro GPCR domains,False
Wban_00065,Encodes protein that lacks InterPro GPCR domains,False
Wban_00066,Encodes protein that lacks InterPro GPCR domains,False
Wban_00067,Encodes protein that lacks InterPro GPCR domains,False
Wban_00068,Encodes protein that lacks InterPro GPCR domains,False
Wban_00069,Encodes protein that lacks InterPro GPCR domains,False
Wban_00070,Encodes protein that lacks InterPro GPCR domains,False
Wban_00071,Encodes protein that lacks InterPro GPCR domains,False
Wban_00072,Encodes protein that lacks InterPro GPCR domains,False
Wban_00073,Encodes protein that lacks InterPro GPCR domains,False
Wban_00074,Encodes protein that lacks InterPro GPCR domains,False
Wban_00075,Encodes protein that lacks InterPro GPCR domains,False
Wban_00076,Encodes protein that lacks InterPro GPCR domains,False
Wban_00077,Encodes protein that lacks InterPro GPCR domains,False
Wban_00078,Encodes protein that lacks InterPro GPCR domains,False
Wban_00079,Encodes protein that lacks InterPro GPCR domains,False
Wban_00080,Encodes protein that lacks InterPro GPCR domains,False
Wban_00081,Encodes protein that lacks InterPro GPCR domains,False
Wban_00082,Encodes protein that lacks InterPro GPCR domains,False
Wban_00083,Encodes protein that lacks InterPro GPCR domains,False
Wban_00084,Encodes protein that lacks InterPro GPCR domains,False
Wban_00085,Encodes protein that lacks InterPro GPCR domains,False
Wban_00086,Encodes protein that lacks InterPro GPCR domains,False
Wban_00087,Encodes protein that lacks InterPro GPCR domains,False
Wban_00088,Encodes protein that lacks InterPro GPCR domains,False
Wban_00089,Encodes protein that lacks InterPro GPCR domains,False
Wban_00090,Encodes protein that lacks InterPro GPCR domains,False
Wban_00091,Encodes protein that lacks InterPro GPCR domains,False
Wban_00092,Encodes protein that lacks InterPro GPCR domains,False
Wban_00093,Encodes protein that lacks InterPro GPCR domains,False
Wban_00094,Encodes protein that lacks InterPro GPCR domains,False
Wban_00095,Encodes protein that lacks InterPro GPCR domains,False
Wban_00096,Encodes protein that lacks InterPro GPCR domains,False
Wban_00097,Encodes protein that lacks InterPro GPCR domains,False
Wban_00098,Encodes protein that lacks InterPro GPCR domains,False
Wban_00099,Encodes protein that lacks InterPro GPCR domains,False
Wban_00100,Encodes protein that lacks InterPro GPCR domains,False
Wban_00101,Encodes protein that lacks InterPro GPCR domains,False
Wban_00102,Encodes protein that lacks InterPro GPCR domains,False
Wban_00103,Encodes protein that lacks InterPro GPCR domains,False
Wban_00104,Encodes protein that lacks InterPro GPCR domains,False
Wban_00105,Encodes protein that lacks InterPro GPCR domains,False
Wban_00106,Encodes protein that lacks InterPro GPCR domains,False
Wban_00107,Encodes protein that lacks InterPro GPCR domains,False
Wban_00108,Encodes protein that lacks InterPro GPCR domains,False
Wban_00109,Encodes protein that lacks InterPro GPCR domains,False
Wban_00110,Encodes protein that lacks InterPro GPCR domains,False
Wban_00111,Encodes protein that lacks InterPro GPCR domains,False
Wban_00112,Encodes protein that lacks InterPro GPCR domains,False
Wban_00113,Encodes protein that lacks InterPro GPCR domains,False
Wban_00114,Encodes protein that lacks InterPro GPCR domains,False
Wban_00115,Encodes protein that lacks InterPro GPCR domains,False
Wban_00116,Encodes protein that lacks InterPro GPCR domains,False
Wban_00117,Encodes protein that lacks InterPro GPCR domains,False
Wban_00118,Encodes protein that lacks InterPro GPCR domains,False
Wban_00119,Encodes protein that lacks InterPro GPCR domains,False
Wban_00120,Encodes protein that lacks InterPro GPCR domains,False
Wban_00121,"Encodes protein with InterPro domain(s): IPR017981 - GPCR, family 2-like, 7TM",True
Wban_00122,Encodes protein that lacks InterPro GPCR domains,False
Wban_00123,Encodes protein that lacks InterPro GPCR domains,False
Wban_00124,Encodes protein that lacks InterPro GPCR domains,False
Wban_00125,Encodes protein that lacks InterPro GPCR domains,False
Wban_00126,Encodes protein that lacks InterPro GPCR domains,False
Wban_00127,Encodes protein that lacks InterPro GPCR domains,False
Wban_00128,Encodes protein that lacks InterPro GPCR domains,False
Wban_00129,Encodes protein that lacks InterPro GPCR domains,False
Wban_00130,Encodes protein that lacks InterPro GPCR domains,False
Wban_00131,Encodes protein that lacks InterPro GPCR domains,False
Wban_00132,Encodes protein that lacks InterPro GPCR domains,False
Wban_00133,Encodes protein that lacks InterPro GPCR domains,False
Wban_00134,Encodes protein that lacks InterPro GPCR domains,False
Wban_00135,Encodes protein that lacks InterPro GPCR domains,False
Wban_00136,Encodes protein that lacks InterPro GPCR domains,False
Wban_00137,Encodes protein that lacks InterPro GPCR domains,False
Wban_00138,Encodes protein that lacks InterPro GPCR domains,False
Wban_00139,Encodes protein that lacks InterPro GPCR domains,False
Wban_00140,Encodes protein that lacks InterPro GPCR domains,False
