gene_id,production_name,alphafold_available
Wban_00001,wuchereria_bancrofti_prjna275548,False
Wban_00002,wuchereria_bancrofti_prjna275548,False
Wban_00003,wuchereria_bancrofti_prjna275548,False
Wban_00004,wuchereria_bancrofti_prjna275548,False
Wban_00005,wuchereria_bancrofti_prjna275548,False
Wban_00006,wuchereria_bancrofti_prjna275548,False
Wban_00007,wuchereria_bancrofti_prjna275548,False
Wban_00008,wuchereria_bancrofti_prjna275548,False
Wban_00009,wuchereria_bancrofti_prjna275548,False
Wban_00010,wuchereria_bancrofti_prjna275548,False
Wban_00011,wuchereria_bancrofti_prjna275548,False
Wban_00012,wuchereria_bancrofti_prjna275548,False
Wban_00013,wuchereria_bancrofti_prjna275548,False
Wban_00014,wuchereria_bancrofti_prjna275548,False
Wban_00015,wuchereria_bancrofti_prjna275548,False
Wban_00016,wuchereria_bancrofti_prjna275548,False
Wban_00017,wuchereria_bancrofti_prjna275548,False
Wban_00018,wuchereria_bancrofti_prjna275548,False
Wban_00019,wuchereria_bancrofti_prjna275548,False
Wban_00020,wuchereria_bancrofti_prjna275548,False
Wban_00021,wuchereria_bancrofti_prjna275548,False
Wban_00022,wuchereria_bancrofti_prjna275548,False
Wban_00023,wuchereria_bancrofti_prjna275548,False
Wban_00024,wuchereria_bancrofti_prjna275548,False
Wban_00025,wuchereria_bancrofti_prjna275548,False
Wban_00026,wuchereria_bancrofti_prjna275548,False
Wban_00027,wuchereria_bancrofti_prjna275548,False
Wban_00028,wuchereria_bancrofti_prjna275548,False
Wban_00029,wuchereria_bancrofti_prjna275548,False
Wban_00030,wuchereria_bancrofti_prjna275548,False
Wban_00031,wuchereria_bancrofti_prjna275548,False
Wban_00032,wuchereria_bancrofti_prjna275548,False
Wban_00033,wuchereria_bancrofti_prjna275548,False
Wban_00034,wuchereria_bancrofti_prjna275548,False
Wban_00035,wuchereria_bancrofti_prjna275548,False
Wban_00036,wuchereria_bancrofti_prjna275548,False
Wban_00037,wuchereria_bancrofti_prjna275548,False
Wban_00038,wuchereria_bancrofti_prjna275548,False
Wban_00039,wuchereria_bancrofti_prjna275548,False
Wban_00040,wuchereria_bancrofti_prjna275548,False
Wban_00041,wuchereria_bancrofti_prjna275548,False
Wban_00042,wuchereria_bancrofti_prjna275548,False
Wban_00043,wuchereria_bancrofti_prjna275548,False
Wban_00044,wuchereria_bancrofti_prjna275548,False
Wban_00045,wuchereria_bancrofti_prjna275548,False
Wban_00046,wuchereria_bancrofti_prjna275548,False
Wban_00047,wuchereria_bancrofti_prjna275548,False
Wban_00048,wuchereria_bancrofti_prjna275548,False
Wban_00049,wuchereria_bancrofti_prjna275548,False
Wban_00050,wuchereria_bancrofti_prjna275548,False
Wban_00051,wuchereria_bancrofti_prjna275548,False
Wban_00052,wuchereria_bancrofti_prjna275548,False
Wban_00053,wuchereria_bancrofti_prjna275548,False
Wban_00054,wuchereria_bancrofti_prjna275548,False
Wban_00055,wuchereria_bancrofti_prjna275548,False
Wban_00056,wuchereria_bancrofti_prjna275548,False
Wban_00057,wuchereria_bancrofti_prjna275548,False
Wban_00058,wuchereria_bancrofti_prjna275548,False
Wban_00059,wuchereria_bancrofti_prjna275548,False
Wban_00060,wuchereria_bancrofti_prjna275548,False
Wban_00061,wuchereria_bancrofti_prjna275548,False
Wban_00062,wuchereria_bancrofti_prjna275548,False
Wban_00063,wuchereria_bancrofti_prjna275548,False
Wban_00064,wuchereria_bancrofti_prjna275548,False
Wban_00065,wuchereria_bancrofti_prjna275548,False
Wban_00066,wuchereria_bancrofti_prjna275548,False
Wban_00067,wuchereria_bancrofti_prjna275548,False
Wban_00068,wuchereria_bancrofti_prjna275548,False
Wban_00069,wuchereria_bancrofti_prjna275548,False
Wban_00070,wuchereria_bancrofti_prjna275548,False
Wban_00071,wuchereria_bancrofti_prjna275548,False
Wban_00072,wuchereria_bancrofti_prjna275548,False
Wban_00073,wuchereria_bancrofti_prjna275548,False
Wban_00074,wuchereria_bancrofti_prjna275548,False
Wban_00075,wuchereria_bancrofti_prjna275548,False
Wban_00076,wuchereria_bancrofti_prjna275548,False
Wban_00077,wuchereria_bancrofti_prjna275548,False
Wban_00078,wuchereria_bancrofti_prjna275548,False
Wban_00079,wuchereria_bancrofti_prjna275548,False
Wban_00080,wuchereria_bancrofti_prjna275548,False
Wban_00081,wuchereria_bancrofti_prjna275548,False
Wban_00082,wuchereria_bancrofti_prjna275548,False
Wban_00083,wuchereria_bancrofti_prjna275548,False
Wban_00084,wuchereria_bancrofti_prjna275548,False
Wban_00085,wuchereria_bancrofti_prjna275548,False
Wban_00086,wuchereria_bancrofti_prjna275548,False
Wban_00087,wuchereria_bancrofti_prjna275548,False
Wban_00088,wuchereria_bancrofti_prjna275548,False
Wban_00089,wuchereria_bancrofti_prjna275548,False
Wban_00090,wuchereria_bancrofti_prjna275548,False
Wban_00091,wuchereria_bancrofti_prjna275548,False
Wban_00092,wuchereria_bancrofti_prjna275548,False
Wban_00093,wuchereria_bancrofti_prjna275548,False
Wban_00094,wuchereria_bancrofti_prjna275548,False
Wban_00095,wuchereria_bancrofti_prjna275548,False
Wban_00096,wuchereria_bancrofti_prjna275548,False
Wban_00097,wuchereria_bancrofti_prjna275548,False
Wban_00098,wuchereria_bancrofti_prjna275548,False
Wban_00099,wuchereria_bancrofti_prjna275548,False
Wban_00100,wuchereria_bancrofti_prjna275548,False
Wban_00101,wuchereria_bancrofti_prjna275548,False
Wban_00102,wuchereria_bancrofti_prjna275548,False
Wban_00103,wuchereria_bancrofti_prjna275548,False
Wban_00104,wuchereria_bancrofti_prjna275548,False
Wban_00105,wuchereria_bancrofti_prjna275548,False
Wban_00106,wuchereria_bancrofti_prjna275548,False
Wban_00107,wuchereria_bancrofti_prjna275548,False
Wban_00108,wuchereria_bancrofti_prjna275548,False
Wban_00109,wuchereria_bancrofti_prjna275548,False
Wban_00110,wuchereria_bancrofti_prjna275548,False
Wban_00111,wuchereria_bancrofti_prjna275548,False
Wban_00112,wuchereria_bancrofti_prjna275548,False
Wban_00113,wuchereria_bancrofti_prjna275548,False
Wban_00114,wuchereria_bancrofti_prjna275548,False
Wban_00115,wuchereria_bancrofti_prjna275548,False
Wban_00116,wuchereria_bancrofti_prjna275548,False
Wban_00117,wuchereria_bancrofti_prjna275548,False
Wban_00118,wuchereria_bancrofti_prjna275548,False
Wban_00119,wuchereria_bancrofti_prjna275548,False
Wban_00120,wuchereria_bancrofti_prjna275548,False
Wban_00121,wuchereria_bancrofti_prjna275548,False
Wban_00122,wuchereria_bancrofti_prjna275548,False
Wban_00123,wuchereria_bancrofti_prjna275548,False
Wban_00124,wuchereria_bancrofti_prjna275548,False
Wban_00125,wuchereria_bancrofti_prjna275548,False
Wban_00126,wuchereria_bancrofti_prjna275548,False
Wban_00127,wuchereria_bancrofti_prjna275548,False
Wban_00128,wuchereria_bancrofti_prjna275548,False
Wban_00129,wuchereria_bancrofti_prjna275548,False
Wban_00130,wuchereria_bancrofti_prjna275548,False
Wban_00131,wuchereria_bancrofti_prjna275548,False
Wban_00132,wuchereria_bancrofti_prjna275548,False
Wban_00133,wuchereria_bancrofti_prjna275548,False
Wban_00134,wuchereria_bancrofti_prjna275548,False
Wban_00135,wuchereria_bancrofti_prjna275548,False
Wban_00136,wuchereria_bancrofti_prjna275548,False
Wban_00137,wuchereria_bancrofti_prjna275548,False
Wban_00138,wuchereria_bancrofti_prjna275548,False
Wban_00139,wuchereria_bancrofti_prjna275548,False
Wban_00140,wuchereria_bancrofti_prjna275548,False
Wban_00141,wuchereria_bancrofti_prjna275548,False
Wban_00142,wuchereria_bancrofti_prjna275548,False
Wban_00143,wuchereria_bancrofti_prjna275548,False
Wban_00144,wuchereria_bancrofti_prjna275548,False
Wban_00145,wuchereria_bancrofti_prjna275548,False
Wban_00146,wuchereria_bancrofti_prjna275548,False
Wban_00147,wuchereria_bancrofti_prjna275548,False
Wban_00148,wuchereria_bancrofti_prjna275548,False
Wban_00149,wuchereria_bancrofti_prjna275548,False
Wban_00150,wuchereria_bancrofti_prjna275548,False
Wban_00151,wuchereria_bancrofti_prjna275548,False
Wban_00152,wuchereria_bancrofti_prjna275548,False
Wban_00153,wuchereria_bancrofti_prjna275548,False
Wban_00154,wuchereria_bancrofti_prjna275548,False
Wban_00155,wuchereria_bancrofti_prjna275548,False
Wban_00156,wuchereria_bancrofti_prjna275548,False
Wban_00157,wuchereria_bancrofti_prjna275548,False
Wban_00158,wuchereria_bancrofti_prjna275548,False
Wban_00159,wuchereria_bancrofti_prjna275548,False
Wban_00160,wuchereria_bancrofti_prjna275548,False
Wban_00161,wuchereria_bancrofti_prjna275548,False
Wban_00162,wuchereria_bancrofti_prjna275548,False
Wban_00163,wuchereria_bancrofti_prjna275548,False
Wban_00164,wuchereria_bancrofti_prjna275548,False
Wban_00165,wuchereria_bancrofti_prjna275548,False
Wban_00166,wuchereria_bancrofti_prjna275548,False
Wban_00167,wuchereria_bancrofti_prjna275548,False
Wban_00168,wuchereria_bancrofti_prjna275548,False
Wban_00169,wuchereria_bancrofti_prjna275548,False
Wban_00170,wuchereria_bancrofti_prjna275548,False
Wban_00171,wuchereria_bancrofti_prjna275548,False
Wban_00172,wuchereria_bancrofti_prjna275548,False
Wban_00173,wuchereria_bancrofti_prjna275548,False
Wban_00174,wuchereria_bancrofti_prjna275548,False
Wban_00175,wuchereria_bancrofti_prjna275548,False
Wban_00176,wuchereria_bancrofti_prjna275548,False
Wban_00177,wuchereria_bancrofti_prjna275548,False
Wban_00178,wuchereria_bancrofti_prjna275548,False
Wban_00179,wuchereria_bancrofti_prjna275548,False
Wban_00180,wuchereria_bancrofti_prjna275548,False
