Gene stable ID,is_kinase_evidence,is_kinase
Wban_00001,Does not have InterPro domains related to GO:0004672,False
Wban_00002,Does not have InterPro domains related to GO:0004672,False
Wban_00003,Does not have InterPro domains related to GO:0004672,False
Wban_00004,Does not have InterPro domains related to GO:0004672,False
Wban_00005,Does not have InterPro domains related to GO:0004672,False
Wban_00006,Does not have InterPro domains related to GO:0004672,False
Wban_00007,Does not have InterPro domains related to GO:0004672,False
Wban_00008,Does not have InterPro domains related to GO:0004672,False
Wban_00009,Does not have InterPro domains related to GO:0004672,False
Wban_00010,Does not have InterPro domains related to GO:0004672,False
Wban_00011,Does not have InterPro domains related to GO:0004672,False
Wban_00012,Does not have InterPro domains related to GO:0004672,False
Wban_00013,Does not have InterPro domains related to GO:0004672,False
Wban_00014,Does not have InterPro domains related to GO:0004672,False
Wban_00015,Does not have InterPro domains related to GO:0004672,False
Wban_00016,Does not have InterPro domains related to GO:0004672,False
Wban_00017,Does not have InterPro domains related to GO:0004672,False
Wban_00018,Does not have InterPro domains related to GO:0004672,False
Wban_00019,Does not have InterPro domains related to GO:0004672,False
Wban_00020,Does not have InterPro domains related to GO:0004672,False
Wban_00021,Does not have InterPro domains related to GO:0004672,False
Wban_00022,Does not have InterPro domains related to GO:0004672,False
Wban_00023,Does not have InterPro domains related to GO:0004672,False
Wban_00024,Does not have InterPro domains related to GO:0004672,False
Wban_00025,Does not have InterPro domains related to GO:0004672,False
Wban_00026,Does not have InterPro domains related to GO:0004672,False
Wban_00027,Does not have InterPro domains related to GO:0004672,False
Wban_00028,Does not have InterPro domains related to GO:0004672,False
Wban_00029,Does not have InterPro domains related to GO:0004672,False
Wban_00030,Does not have InterPro domains related to GO:0004672,False
Wban_00031,Does not have InterPro domains related to GO:0004672,False
Wban_00032,Does not have InterPro domains related to GO:0004672,False
Wban_00033,Does not have InterPro domains related to GO:0004672,False
Wban_00034,Does not have InterPro domains related to GO:0004672,False
Wban_00035,Does not have InterPro domains related to GO:0004672,False
Wban_00036,Does not have InterPro domains related to GO:0004672,False
Wban_00037,Does not have InterPro domains related to GO:0004672,False
Wban_00038,Does not have InterPro domains related to GO:0004672,False
Wban_00039,Does not have InterPro domains related to GO:0004672,False
Wban_00040,Does not have InterPro domains related to GO:0004672,False
Wban_00041,Does not have InterPro domains related to GO:0004672,False
Wban_00042,Does not have InterPro domains related to GO:0004672,False
Wban_00043,Does not have InterPro domains related to GO:0004672,False
Wban_00044,Does not have InterPro domains related to GO:0004672,False
Wban_00045,Does not have InterPro domains related to GO:0004672,False
Wban_00046,Does not have InterPro domains related to GO:0004672,False
Wban_00047,Does not have InterPro domains related to GO:0004672,False
Wban_00048,Does not have InterPro domains related to GO:0004672,False
Wban_00049,Does not have InterPro domains related to GO:0004672,False
Wban_00050,Does not have InterPro domains related to GO:0004672,False
Wban_00051,Does not have InterPro domains related to GO:0004672,False
Wban_00052,Does not have InterPro domains related to GO:0004672,False
Wban_00053,Does not have InterPro domains related to GO:0004672,False
Wban_00054,Does not have InterPro domains related to GO:0004672,False
Wban_00055,Does not have InterPro domains related to GO:0004672,False
Wban_00056,Does not have InterPro domains related to GO:0004672,False
Wban_00057,Does not have InterPro domains related to GO:0004672,False
Wban_00058,Does not have InterPro domains related to GO:0004672,False
Wban_00059,Does not have InterPro domains related to GO:0004672,False
Wban_00060,Does not have InterPro domains related to GO:0004672,False
Wban_00061,Does not have InterPro domains related to GO:0004672,False
Wban_00062,Does not have InterPro domains related to GO:0004672,False
Wban_00063,Does not have InterPro domains related to GO:0004672,False
Wban_00064,Does not have InterPro domains related to GO:0004672,False
Wban_00065,Does not have InterPro domains related to GO:0004672,False
Wban_00066,Does not have InterPro domains related to GO:0004672,False
Wban_00067,Does not have InterPro domains related to GO:0004672,False
Wban_00068,Does not have InterPro domains related to GO:0004672,False
Wban_00069,Does not have InterPro domains related to GO:0004672,False
Wban_00070,Does not have InterPro domains related to GO:0004672,False
Wban_00071,Does not have InterPro domains related to GO:0004672,False
Wban_00072,Does not have InterPro domains related to GO:0004672,False
Wban_00073,Does not have InterPro domains related to GO:0004672,False
Wban_00074,Does not have InterPro domains related to GO:0004672,False
Wban_00075,Does not have InterPro domains related to GO:0004672,False
Wban_00076,Does not have InterPro domains related to GO:0004672,False
Wban_00077,Does not have InterPro domains related to GO:0004672,False
Wban_00078,Does not have InterPro domains related to GO:0004672,False
Wban_00079,Does not have InterPro domains related to GO:0004672,False
Wban_00080,Does not have InterPro domains related to GO:0004672,False
Wban_00081,Does not have InterPro domains related to GO:0004672,False
Wban_00082,Does not have InterPro domains related to GO:0004672,False
Wban_00083,Does not have InterPro domains related to GO:0004672,False
Wban_00084,Does not have InterPro domains related to GO:0004672,False
Wban_00085,Does not have InterPro domains related to GO:0004672,False
Wban_00086,Does not have InterPro domains related to GO:0004672,False
Wban_00087,Does not have InterPro domains related to GO:0004672,False
Wban_00088,Does not have InterPro domains related to GO:0004672,False
Wban_00089,Does not have InterPro domains related to GO:0004672,False
Wban_00090,"Encodes protein with InterPro domain(s)  that are related to GO:0004672: IPR008271 - Serine/threonine-protein kinase, active site, IPR000719 - Protein kinase domain",True
Wban_00091,Does not have InterPro domains related to GO:0004672,False
Wban_00092,Does not have InterPro domains related to GO:0004672,False
Wban_00093,Does not have InterPro domains related to GO:0004672,False
Wban_00094,Does not have InterPro domains related to GO:0004672,False
Wban_00095,Does not have InterPro domains related to GO:0004672,False
Wban_00096,Does not have InterPro domains related to GO:0004672,False
Wban_00097,Does not have InterPro domains related to GO:0004672,False
Wban_00098,Does not have InterPro domains related to GO:0004672,False
Wban_00099,Does not have InterPro domains related to GO:0004672,False
Wban_00100,Does not have InterPro domains related to GO:0004672,False
Wban_00101,Does not have InterPro domains related to GO:0004672,False
Wban_00102,Does not have InterPro domains related to GO:0004672,False
Wban_00103,Does not have InterPro domains related to GO:0004672,False
Wban_00104,Does not have InterPro domains related to GO:0004672,False
Wban_00105,Does not have InterPro domains related to GO:0004672,False
Wban_00106,Does not have InterPro domains related to GO:0004672,False
Wban_00107,Does not have InterPro domains related to GO:0004672,False
Wban_00108,Does not have InterPro domains related to GO:0004672,False
Wban_00109,Does not have InterPro domains related to GO:0004672,False
Wban_00110,Does not have InterPro domains related to GO:0004672,False
Wban_00111,Does not have InterPro domains related to GO:0004672,False
Wban_00112,Does not have InterPro domains related to GO:0004672,False
Wban_00113,Does not have InterPro domains related to GO:0004672,False
Wban_00114,Does not have InterPro domains related to GO:0004672,False
Wban_00115,Does not have InterPro domains related to GO:0004672,False
Wban_00116,Does not have InterPro domains related to GO:0004672,False
Wban_00117,Does not have InterPro domains related to GO:0004672,False
Wban_00118,Does not have InterPro domains related to GO:0004672,False
Wban_00119,Does not have InterPro domains related to GO:0004672,False
Wban_00120,Does not have InterPro domains related to GO:0004672,False
Wban_00121,Does not have InterPro domains related to GO:0004672,False
Wban_00122,Does not have InterPro domains related to GO:0004672,False
Wban_00123,Does not have InterPro domains related to GO:0004672,False
Wban_00124,Does not have InterPro domains related to GO:0004672,False
Wban_00125,Does not have InterPro domains related to GO:0004672,False
Wban_00126,Does not have InterPro domains related to GO:0004672,False
Wban_00127,Does not have InterPro domains related to GO:0004672,False
Wban_00128,Does not have InterPro domains related to GO:0004672,False
Wban_00129,Does not have InterPro domains related to GO:0004672,False
Wban_00130,Does not have InterPro domains related to GO:0004672,False
Wban_00131,Does not have InterPro domains related to GO:0004672,False
Wban_00132,Does not have InterPro domains related to GO:0004672,False
Wban_00133,Does not have InterPro domains related to GO:0004672,False
Wban_00134,Does not have InterPro domains related to GO:0004672,False
Wban_00135,Does not have InterPro domains related to GO:0004672,False
Wban_00136,Does not have InterPro domains related to GO:0004672,False
Wban_00137,Does not have InterPro domains related to GO:0004672,False
Wban_00138,Does not have InterPro domains related to GO:0004672,False
Wban_00139,Does not have InterPro domains related to GO:0004672,False
Wban_00140,Does not have InterPro domains related to GO:0004672,False
Wban_00141,Does not have InterPro domains related to GO:0004672,False
Wban_00142,Does not have InterPro domains related to GO:0004672,False
Wban_00143,Does not have InterPro domains related to GO:0004672,False
Wban_00144,Does not have InterPro domains related to GO:0004672,False
Wban_00145,"Encodes protein with InterPro domain(s)  that are related to GO:0004672: IPR008271 - Serine/threonine-protein kinase, active site, IPR045269 - Serine/threonine-protein kinase Atg1-like, IPR000719 - Protein kinase domain",True
Wban_00146,Does not have InterPro domains related to GO:0004672,False
Wban_00147,Does not have InterPro domains related to GO:0004672,False
Wban_00148,Does not have InterPro domains related to GO:0004672,False
Wban_00149,Does not have InterPro domains related to GO:0004672,False
Wban_00150,"Encodes protein with InterPro domain(s)  that are related to GO:0004672: IPR008271 - Serine/threonine-protein kinase, active site, IPR000719 - Protein kinase domain",True
Wban_00151,Does not have InterPro domains related to GO:0004672,False
Wban_00152,Does not have InterPro domains related to GO:0004672,False
Wban_00153,Does not have InterPro domains related to GO:0004672,False
Wban_00154,Does not have InterPro domains related to GO:0004672,False
Wban_00155,Does not have InterPro domains related to GO:0004672,False
Wban_00156,Does not have InterPro domains related to GO:0004672,False
Wban_00157,Does not have InterPro domains related to GO:0004672,False
