gene_id,production_name,alphafold_available
WBA_0000000001,wuchereria_bancrofti_prjeb536,True
WBA_0000000101,wuchereria_bancrofti_prjeb536,True
WBA_0000000201,wuchereria_bancrofti_prjeb536,True
WBA_0000000301,wuchereria_bancrofti_prjeb536,True
WBA_0000000401,wuchereria_bancrofti_prjeb536,True
WBA_0000000501,wuchereria_bancrofti_prjeb536,True
WBA_0000000601,wuchereria_bancrofti_prjeb536,False
WBA_0000000701,wuchereria_bancrofti_prjeb536,True
WBA_0000000801,wuchereria_bancrofti_prjeb536,True
WBA_0000000901,wuchereria_bancrofti_prjeb536,False
WBA_0000001001,wuchereria_bancrofti_prjeb536,False
WBA_0000001101,wuchereria_bancrofti_prjeb536,True
WBA_0000001201,wuchereria_bancrofti_prjeb536,True
WBA_0000001301,wuchereria_bancrofti_prjeb536,True
WBA_0000001401,wuchereria_bancrofti_prjeb536,False
WBA_0000001501,wuchereria_bancrofti_prjeb536,True
WBA_0000001601,wuchereria_bancrofti_prjeb536,True
WBA_0000001701,wuchereria_bancrofti_prjeb536,True
WBA_0000001801,wuchereria_bancrofti_prjeb536,True
WBA_0000001901,wuchereria_bancrofti_prjeb536,True
WBA_0000002001,wuchereria_bancrofti_prjeb536,True
WBA_0000002101,wuchereria_bancrofti_prjeb536,False
WBA_0000002201,wuchereria_bancrofti_prjeb536,True
WBA_0000002301,wuchereria_bancrofti_prjeb536,True
WBA_0000002401,wuchereria_bancrofti_prjeb536,True
WBA_0000002501,wuchereria_bancrofti_prjeb536,True
WBA_0000002601,wuchereria_bancrofti_prjeb536,False
WBA_0000002701,wuchereria_bancrofti_prjeb536,True
WBA_0000002801,wuchereria_bancrofti_prjeb536,True
WBA_0000002901,wuchereria_bancrofti_prjeb536,True
WBA_0000003001,wuchereria_bancrofti_prjeb536,True
WBA_0000003101,wuchereria_bancrofti_prjeb536,True
WBA_0000003201,wuchereria_bancrofti_prjeb536,True
WBA_0000003301,wuchereria_bancrofti_prjeb536,True
WBA_0000003401,wuchereria_bancrofti_prjeb536,True
WBA_0000003501,wuchereria_bancrofti_prjeb536,False
WBA_0000003601,wuchereria_bancrofti_prjeb536,True
WBA_0000003701,wuchereria_bancrofti_prjeb536,True
WBA_0000003801,wuchereria_bancrofti_prjeb536,True
WBA_0000003901,wuchereria_bancrofti_prjeb536,True
WBA_0000004001,wuchereria_bancrofti_prjeb536,True
WBA_0000004101,wuchereria_bancrofti_prjeb536,True
WBA_0000004201,wuchereria_bancrofti_prjeb536,True
WBA_0000004301,wuchereria_bancrofti_prjeb536,True
WBA_0000004401,wuchereria_bancrofti_prjeb536,True
WBA_0000004501,wuchereria_bancrofti_prjeb536,True
WBA_0000004601,wuchereria_bancrofti_prjeb536,True
WBA_0000004701,wuchereria_bancrofti_prjeb536,True
WBA_0000004801,wuchereria_bancrofti_prjeb536,True
WBA_0000004901,wuchereria_bancrofti_prjeb536,True
WBA_0000005001,wuchereria_bancrofti_prjeb536,False
WBA_0000005101,wuchereria_bancrofti_prjeb536,True
WBA_0000005201,wuchereria_bancrofti_prjeb536,True
WBA_0000005301,wuchereria_bancrofti_prjeb536,True
WBA_0000005401,wuchereria_bancrofti_prjeb536,True
WBA_0000005501,wuchereria_bancrofti_prjeb536,True
WBA_0000005601,wuchereria_bancrofti_prjeb536,True
WBA_0000005701,wuchereria_bancrofti_prjeb536,True
WBA_0000005801,wuchereria_bancrofti_prjeb536,True
WBA_0000005901,wuchereria_bancrofti_prjeb536,False
WBA_0000006001,wuchereria_bancrofti_prjeb536,True
WBA_0000006101,wuchereria_bancrofti_prjeb536,True
WBA_0000006201,wuchereria_bancrofti_prjeb536,True
WBA_0000006301,wuchereria_bancrofti_prjeb536,True
WBA_0000006401,wuchereria_bancrofti_prjeb536,True
WBA_0000006501,wuchereria_bancrofti_prjeb536,True
WBA_0000006601,wuchereria_bancrofti_prjeb536,True
WBA_0000006701,wuchereria_bancrofti_prjeb536,True
WBA_0000006801,wuchereria_bancrofti_prjeb536,True
WBA_0000006901,wuchereria_bancrofti_prjeb536,True
WBA_0000007001,wuchereria_bancrofti_prjeb536,True
WBA_0000007101,wuchereria_bancrofti_prjeb536,True
WBA_0000007201,wuchereria_bancrofti_prjeb536,True
WBA_0000007301,wuchereria_bancrofti_prjeb536,True
WBA_0000007401,wuchereria_bancrofti_prjeb536,True
WBA_0000007501,wuchereria_bancrofti_prjeb536,True
WBA_0000007601,wuchereria_bancrofti_prjeb536,True
WBA_0000007701,wuchereria_bancrofti_prjeb536,False
WBA_0000007801,wuchereria_bancrofti_prjeb536,True
WBA_0000007901,wuchereria_bancrofti_prjeb536,True
WBA_0000008001,wuchereria_bancrofti_prjeb536,True
WBA_0000008101,wuchereria_bancrofti_prjeb536,True
WBA_0000008201,wuchereria_bancrofti_prjeb536,True
WBA_0000008301,wuchereria_bancrofti_prjeb536,True
WBA_0000008401,wuchereria_bancrofti_prjeb536,True
WBA_0000008501,wuchereria_bancrofti_prjeb536,True
WBA_0000008601,wuchereria_bancrofti_prjeb536,True
WBA_0000008701,wuchereria_bancrofti_prjeb536,True
WBA_0000008801,wuchereria_bancrofti_prjeb536,True
WBA_0000008901,wuchereria_bancrofti_prjeb536,True
WBA_0000009001,wuchereria_bancrofti_prjeb536,True
WBA_0000009101,wuchereria_bancrofti_prjeb536,True
WBA_0000009201,wuchereria_bancrofti_prjeb536,True
WBA_0000009301,wuchereria_bancrofti_prjeb536,True
WBA_0000009401,wuchereria_bancrofti_prjeb536,False
WBA_0000009501,wuchereria_bancrofti_prjeb536,True
WBA_0000009601,wuchereria_bancrofti_prjeb536,True
WBA_0000009701,wuchereria_bancrofti_prjeb536,False
WBA_0000009801,wuchereria_bancrofti_prjeb536,True
WBA_0000009901,wuchereria_bancrofti_prjeb536,False
WBA_0000010001,wuchereria_bancrofti_prjeb536,True
WBA_0000010101,wuchereria_bancrofti_prjeb536,True
WBA_0000010201,wuchereria_bancrofti_prjeb536,True
WBA_0000010301,wuchereria_bancrofti_prjeb536,True
WBA_0000010401,wuchereria_bancrofti_prjeb536,True
WBA_0000010501,wuchereria_bancrofti_prjeb536,True
WBA_0000010601,wuchereria_bancrofti_prjeb536,True
WBA_0000010701,wuchereria_bancrofti_prjeb536,False
WBA_0000010801,wuchereria_bancrofti_prjeb536,True
WBA_0000010901,wuchereria_bancrofti_prjeb536,True
WBA_0000011001,wuchereria_bancrofti_prjeb536,True
WBA_0000011101,wuchereria_bancrofti_prjeb536,False
WBA_0000011201,wuchereria_bancrofti_prjeb536,True
WBA_0000011301,wuchereria_bancrofti_prjeb536,True
WBA_0000011401,wuchereria_bancrofti_prjeb536,False
WBA_0000011501,wuchereria_bancrofti_prjeb536,True
WBA_0000011601,wuchereria_bancrofti_prjeb536,True
WBA_0000011701,wuchereria_bancrofti_prjeb536,True
WBA_0000011801,wuchereria_bancrofti_prjeb536,True
WBA_0000011901,wuchereria_bancrofti_prjeb536,True
WBA_0000012001,wuchereria_bancrofti_prjeb536,True
WBA_0000012101,wuchereria_bancrofti_prjeb536,True
WBA_0000012201,wuchereria_bancrofti_prjeb536,False
WBA_0000012301,wuchereria_bancrofti_prjeb536,True
WBA_0000012401,wuchereria_bancrofti_prjeb536,True
WBA_0000012501,wuchereria_bancrofti_prjeb536,True
WBA_0000012601,wuchereria_bancrofti_prjeb536,True
WBA_0000012701,wuchereria_bancrofti_prjeb536,True
WBA_0000012801,wuchereria_bancrofti_prjeb536,True
WBA_0000012901,wuchereria_bancrofti_prjeb536,True
WBA_0000013001,wuchereria_bancrofti_prjeb536,True
WBA_0000013101,wuchereria_bancrofti_prjeb536,True
WBA_0000013201,wuchereria_bancrofti_prjeb536,True
WBA_0000013301,wuchereria_bancrofti_prjeb536,True
WBA_0000013401,wuchereria_bancrofti_prjeb536,True
WBA_0000013501,wuchereria_bancrofti_prjeb536,True
WBA_0000013601,wuchereria_bancrofti_prjeb536,True
WBA_0000013701,wuchereria_bancrofti_prjeb536,True
WBA_0000013801,wuchereria_bancrofti_prjeb536,True
WBA_0000013901,wuchereria_bancrofti_prjeb536,True
WBA_0000014001,wuchereria_bancrofti_prjeb536,True
WBA_0000014101,wuchereria_bancrofti_prjeb536,True
WBA_0000014201,wuchereria_bancrofti_prjeb536,True
WBA_0000014301,wuchereria_bancrofti_prjeb536,True
WBA_0000014401,wuchereria_bancrofti_prjeb536,True
WBA_0000014501,wuchereria_bancrofti_prjeb536,True
WBA_0000014601,wuchereria_bancrofti_prjeb536,True
WBA_0000014701,wuchereria_bancrofti_prjeb536,True
WBA_0000014801,wuchereria_bancrofti_prjeb536,True
WBA_0000014901,wuchereria_bancrofti_prjeb536,True
WBA_0000015001,wuchereria_bancrofti_prjeb536,True
WBA_0000015101,wuchereria_bancrofti_prjeb536,True
WBA_0000015201,wuchereria_bancrofti_prjeb536,True
WBA_0000015301,wuchereria_bancrofti_prjeb536,True
WBA_0000015401,wuchereria_bancrofti_prjeb536,False
WBA_0000015501,wuchereria_bancrofti_prjeb536,True
WBA_0000015601,wuchereria_bancrofti_prjeb536,True
WBA_0000015701,wuchereria_bancrofti_prjeb536,True
WBA_0000015801,wuchereria_bancrofti_prjeb536,True
WBA_0000015901,wuchereria_bancrofti_prjeb536,True
WBA_0000016001,wuchereria_bancrofti_prjeb536,True
WBA_0000016101,wuchereria_bancrofti_prjeb536,True
WBA_0000016201,wuchereria_bancrofti_prjeb536,True
WBA_0000016301,wuchereria_bancrofti_prjeb536,True
WBA_0000016401,wuchereria_bancrofti_prjeb536,True
WBA_0000016501,wuchereria_bancrofti_prjeb536,True
WBA_0000016601,wuchereria_bancrofti_prjeb536,True
WBA_0000016701,wuchereria_bancrofti_prjeb536,True
WBA_0000016801,wuchereria_bancrofti_prjeb536,True
WBA_0000016901,wuchereria_bancrofti_prjeb536,True
WBA_0000017001,wuchereria_bancrofti_prjeb536,False
WBA_0000017101,wuchereria_bancrofti_prjeb536,True
WBA_0000017201,wuchereria_bancrofti_prjeb536,True
WBA_0000017301,wuchereria_bancrofti_prjeb536,True
WBA_0000017401,wuchereria_bancrofti_prjeb536,False
WBA_0000017501,wuchereria_bancrofti_prjeb536,True
WBA_0000017601,wuchereria_bancrofti_prjeb536,True
WBA_0000017701,wuchereria_bancrofti_prjeb536,True
WBA_0000017801,wuchereria_bancrofti_prjeb536,False
WBA_0000017901,wuchereria_bancrofti_prjeb536,True
WBA_0000018001,wuchereria_bancrofti_prjeb536,True
WBA_0000018101,wuchereria_bancrofti_prjeb536,True
WBA_0000018201,wuchereria_bancrofti_prjeb536,True
WBA_0000018301,wuchereria_bancrofti_prjeb536,True
WBA_0000018401,wuchereria_bancrofti_prjeb536,True
WBA_0000018501,wuchereria_bancrofti_prjeb536,True
WBA_0000018601,wuchereria_bancrofti_prjeb536,True
WBA_0000018701,wuchereria_bancrofti_prjeb536,True
WBA_0000018801,wuchereria_bancrofti_prjeb536,True
WBA_0000018901,wuchereria_bancrofti_prjeb536,True
WBA_0000019001,wuchereria_bancrofti_prjeb536,False
WBA_0000019101,wuchereria_bancrofti_prjeb536,True
WBA_0000019201,wuchereria_bancrofti_prjeb536,True
WBA_0000019301,wuchereria_bancrofti_prjeb536,True
WBA_0000019401,wuchereria_bancrofti_prjeb536,True
WBA_0000019501,wuchereria_bancrofti_prjeb536,True
WBA_0000019601,wuchereria_bancrofti_prjeb536,True
WBA_0000019701,wuchereria_bancrofti_prjeb536,True
WBA_0000019801,wuchereria_bancrofti_prjeb536,True
WBA_0000019901,wuchereria_bancrofti_prjeb536,True
WBA_0000020001,wuchereria_bancrofti_prjeb536,True
WBA_0000020101,wuchereria_bancrofti_prjeb536,True
WBA_0000020201,wuchereria_bancrofti_prjeb536,True
WBA_0000020301,wuchereria_bancrofti_prjeb536,True
WBA_0000020401,wuchereria_bancrofti_prjeb536,True
WBA_0000020501,wuchereria_bancrofti_prjeb536,True
WBA_0000020601,wuchereria_bancrofti_prjeb536,True
WBA_0000020701,wuchereria_bancrofti_prjeb536,False
WBA_0000020801,wuchereria_bancrofti_prjeb536,True
WBA_0000020901,wuchereria_bancrofti_prjeb536,True
WBA_0000021001,wuchereria_bancrofti_prjeb536,True
WBA_0000021101,wuchereria_bancrofti_prjeb536,True
WBA_0000021201,wuchereria_bancrofti_prjeb536,True
WBA_0000021301,wuchereria_bancrofti_prjeb536,True
WBA_0000021401,wuchereria_bancrofti_prjeb536,True
WBA_0000021501,wuchereria_bancrofti_prjeb536,False
WBA_0000021601,wuchereria_bancrofti_prjeb536,True
WBA_0000021701,wuchereria_bancrofti_prjeb536,True
WBA_0000021801,wuchereria_bancrofti_prjeb536,True
WBA_0000021901,wuchereria_bancrofti_prjeb536,True
WBA_0000022001,wuchereria_bancrofti_prjeb536,True
WBA_0000022101,wuchereria_bancrofti_prjeb536,True
WBA_0000022201,wuchereria_bancrofti_prjeb536,True
WBA_0000022301,wuchereria_bancrofti_prjeb536,True
WBA_0000022401,wuchereria_bancrofti_prjeb536,True
WBA_0000022501,wuchereria_bancrofti_prjeb536,True
WBA_0000022601,wuchereria_bancrofti_prjeb536,True
WBA_0000022701,wuchereria_bancrofti_prjeb536,True
WBA_0000022801,wuchereria_bancrofti_prjeb536,True
WBA_0000022901,wuchereria_bancrofti_prjeb536,True
WBA_0000023001,wuchereria_bancrofti_prjeb536,True
WBA_0000023101,wuchereria_bancrofti_prjeb536,True
WBA_0000023201,wuchereria_bancrofti_prjeb536,True
WBA_0000023301,wuchereria_bancrofti_prjeb536,False
WBA_0000023401,wuchereria_bancrofti_prjeb536,True
WBA_0000023501,wuchereria_bancrofti_prjeb536,True
WBA_0000023601,wuchereria_bancrofti_prjeb536,True
WBA_0000023701,wuchereria_bancrofti_prjeb536,True
WBA_0000023801,wuchereria_bancrofti_prjeb536,False
WBA_0000023901,wuchereria_bancrofti_prjeb536,True
WBA_0000024001,wuchereria_bancrofti_prjeb536,True
WBA_0000024101,wuchereria_bancrofti_prjeb536,True
WBA_0000024201,wuchereria_bancrofti_prjeb536,True
WBA_0000024301,wuchereria_bancrofti_prjeb536,True
WBA_0000024401,wuchereria_bancrofti_prjeb536,True
WBA_0000024501,wuchereria_bancrofti_prjeb536,True
WBA_0000024601,wuchereria_bancrofti_prjeb536,True
WBA_0000024701,wuchereria_bancrofti_prjeb536,True
WBA_0000024801,wuchereria_bancrofti_prjeb536,True
WBA_0000024901,wuchereria_bancrofti_prjeb536,True
WBA_0000025001,wuchereria_bancrofti_prjeb536,True
WBA_0000025101,wuchereria_bancrofti_prjeb536,True
WBA_0000025201,wuchereria_bancrofti_prjeb536,True
WBA_0000025301,wuchereria_bancrofti_prjeb536,True
WBA_0000025401,wuchereria_bancrofti_prjeb536,True
WBA_0000025501,wuchereria_bancrofti_prjeb536,True
WBA_0000025601,wuchereria_bancrofti_prjeb536,True
WBA_0000025701,wuchereria_bancrofti_prjeb536,False
WBA_0000025801,wuchereria_bancrofti_prjeb536,True
WBA_0000025901,wuchereria_bancrofti_prjeb536,True
WBA_0000026001,wuchereria_bancrofti_prjeb536,False
WBA_0000026101,wuchereria_bancrofti_prjeb536,True
WBA_0000026201,wuchereria_bancrofti_prjeb536,True
WBA_0000026301,wuchereria_bancrofti_prjeb536,True
WBA_0000026401,wuchereria_bancrofti_prjeb536,True
WBA_0000026501,wuchereria_bancrofti_prjeb536,True
WBA_0000026601,wuchereria_bancrofti_prjeb536,True
WBA_0000026701,wuchereria_bancrofti_prjeb536,True
WBA_0000026801,wuchereria_bancrofti_prjeb536,True
WBA_0000026901,wuchereria_bancrofti_prjeb536,True
WBA_0000027001,wuchereria_bancrofti_prjeb536,True
WBA_0000027101,wuchereria_bancrofti_prjeb536,True
WBA_0000027201,wuchereria_bancrofti_prjeb536,True
WBA_0000027301,wuchereria_bancrofti_prjeb536,True
WBA_0000027401,wuchereria_bancrofti_prjeb536,True
WBA_0000027501,wuchereria_bancrofti_prjeb536,True
WBA_0000027601,wuchereria_bancrofti_prjeb536,True
WBA_0000027701,wuchereria_bancrofti_prjeb536,False
WBA_0000027801,wuchereria_bancrofti_prjeb536,True
WBA_0000027901,wuchereria_bancrofti_prjeb536,True
WBA_0000028001,wuchereria_bancrofti_prjeb536,True
WBA_0000028101,wuchereria_bancrofti_prjeb536,True
WBA_0000028201,wuchereria_bancrofti_prjeb536,True
WBA_0000028301,wuchereria_bancrofti_prjeb536,True
WBA_0000028401,wuchereria_bancrofti_prjeb536,True
WBA_0000028501,wuchereria_bancrofti_prjeb536,True
WBA_0000028601,wuchereria_bancrofti_prjeb536,False
WBA_0000028701,wuchereria_bancrofti_prjeb536,True
WBA_0000028801,wuchereria_bancrofti_prjeb536,True
WBA_0000028901,wuchereria_bancrofti_prjeb536,True
WBA_0000029001,wuchereria_bancrofti_prjeb536,True
WBA_0000029101,wuchereria_bancrofti_prjeb536,True
WBA_0000029201,wuchereria_bancrofti_prjeb536,True
WBA_0000029301,wuchereria_bancrofti_prjeb536,True
WBA_0000029401,wuchereria_bancrofti_prjeb536,False
WBA_0000029501,wuchereria_bancrofti_prjeb536,True
WBA_0000029601,wuchereria_bancrofti_prjeb536,True
WBA_0000029701,wuchereria_bancrofti_prjeb536,True
WBA_0000029801,wuchereria_bancrofti_prjeb536,True
WBA_0000029901,wuchereria_bancrofti_prjeb536,True
WBA_0000030001,wuchereria_bancrofti_prjeb536,True
WBA_0000030101,wuchereria_bancrofti_prjeb536,True
WBA_0000030201,wuchereria_bancrofti_prjeb536,True
WBA_0000030301,wuchereria_bancrofti_prjeb536,True
WBA_0000030401,wuchereria_bancrofti_prjeb536,True
WBA_0000030501,wuchereria_bancrofti_prjeb536,True
WBA_0000030601,wuchereria_bancrofti_prjeb536,True
WBA_0000030701,wuchereria_bancrofti_prjeb536,False
WBA_0000030801,wuchereria_bancrofti_prjeb536,True
WBA_0000030901,wuchereria_bancrofti_prjeb536,False
WBA_0000031001,wuchereria_bancrofti_prjeb536,False
WBA_0000031101,wuchereria_bancrofti_prjeb536,True
WBA_0000031201,wuchereria_bancrofti_prjeb536,True
WBA_0000031301,wuchereria_bancrofti_prjeb536,True
WBA_0000031401,wuchereria_bancrofti_prjeb536,True
WBA_0000031501,wuchereria_bancrofti_prjeb536,True
WBA_0000031601,wuchereria_bancrofti_prjeb536,True
WBA_0000031701,wuchereria_bancrofti_prjeb536,True
WBA_0000031801,wuchereria_bancrofti_prjeb536,False
WBA_0000031901,wuchereria_bancrofti_prjeb536,True
WBA_0000032001,wuchereria_bancrofti_prjeb536,True
WBA_0000032101,wuchereria_bancrofti_prjeb536,True
WBA_0000032201,wuchereria_bancrofti_prjeb536,True
WBA_0000032301,wuchereria_bancrofti_prjeb536,True
WBA_0000032401,wuchereria_bancrofti_prjeb536,True
WBA_0000032501,wuchereria_bancrofti_prjeb536,True
WBA_0000032601,wuchereria_bancrofti_prjeb536,False
WBA_0000032701,wuchereria_bancrofti_prjeb536,True
WBA_0000032801,wuchereria_bancrofti_prjeb536,True
WBA_0000032901,wuchereria_bancrofti_prjeb536,True
WBA_0000033001,wuchereria_bancrofti_prjeb536,True
WBA_0000033101,wuchereria_bancrofti_prjeb536,True
WBA_0000033201,wuchereria_bancrofti_prjeb536,True
WBA_0000033301,wuchereria_bancrofti_prjeb536,True
WBA_0000033401,wuchereria_bancrofti_prjeb536,True
WBA_0000033501,wuchereria_bancrofti_prjeb536,True
WBA_0000033601,wuchereria_bancrofti_prjeb536,True
WBA_0000033701,wuchereria_bancrofti_prjeb536,True
WBA_0000033801,wuchereria_bancrofti_prjeb536,True
WBA_0000033901,wuchereria_bancrofti_prjeb536,False
WBA_0000034001,wuchereria_bancrofti_prjeb536,True
WBA_0000034101,wuchereria_bancrofti_prjeb536,True
WBA_0000034201,wuchereria_bancrofti_prjeb536,True
WBA_0000034301,wuchereria_bancrofti_prjeb536,True
