Gene stable ID,Human gene name,% identity,Homology type,size
Wban_03119,H2BC11,66.4286,ortholog_many2many,14
Wban_03119,H2BC3,66.4286,ortholog_many2many,14
Wban_03119,H2BC8,66.4286,ortholog_many2many,14
Wban_03119,H2BC7,66.4286,ortholog_many2many,14
Wban_03119,H2BC17,66.4286,ortholog_many2many,14
Wban_03119,H2BC9,66.4286,ortholog_many2many,14
Wban_03119,H2BC18,66.4286,ortholog_many2many,14
Wban_03119,H2BC21,66.4286,ortholog_many2many,14
Wban_03119,H2BC15,66.4286,ortholog_many2many,14
Wban_03119,H2BC4,66.4286,ortholog_many2many,14
Wban_03119,H2BC5,66.4286,ortholog_many2many,14
Wban_03119,H2BC12,66.4286,ortholog_many2many,14
Wban_03119,H2BC6,66.4286,ortholog_many2many,14
Wban_03119,H2BC10,66.4286,ortholog_many2many,14
TTRE10619,H4C8,65.1685,ortholog_one2many,13
TTRE10619,H4C11,65.1685,ortholog_one2many,13
TTRE10619,H4C1,65.1685,ortholog_one2many,13
TTRE10619,H4C6,65.1685,ortholog_one2many,13
TTRE10619,H4C14,65.1685,ortholog_one2many,13
TTRE10619,H4C2,65.1685,ortholog_one2many,13
TTRE10619,H4C16,65.1685,ortholog_one2many,13
TTRE10619,H4C13,65.1685,ortholog_one2many,13
TTRE10619,H4C9,65.1685,ortholog_one2many,13
TTRE10619,H4C15,65.1685,ortholog_one2many,13
TTRE10619,H4C4,65.1685,ortholog_one2many,13
TTRE10619,H4C3,65.1685,ortholog_one2many,13
TTRE10619,H4C12,65.1685,ortholog_one2many,13
Wban_10100,H2BC3,82.7869,ortholog_many2many,12
Wban_10100,H2BC8,82.7869,ortholog_many2many,12
Wban_10100,H2BC7,82.7869,ortholog_many2many,12
Wban_10100,H2BC17,82.7869,ortholog_many2many,12
Wban_10100,H2BC9,82.7869,ortholog_many2many,12
Wban_10100,H2BC18,82.7869,ortholog_many2many,12
Wban_10100,H2BC21,82.7869,ortholog_many2many,12
Wban_10100,H2BC15,82.7869,ortholog_many2many,12
Wban_10100,H2BC4,82.7869,ortholog_many2many,12
Wban_10100,H2BC5,82.7869,ortholog_many2many,12
Wban_10100,H2BC6,82.7869,ortholog_many2many,12
Wban_10100,H2BC10,82.7869,ortholog_many2many,12
Wban_11160,H2BC8,67.4419,ortholog_many2many,11
Wban_11160,H2BC7,67.4419,ortholog_many2many,11
Wban_11160,H2BC13,67.4419,ortholog_many2many,11
Wban_11160,H2BC9,67.4419,ortholog_many2many,11
Wban_11160,H2BC18,67.4419,ortholog_many2many,11
Wban_11160,H2BC15,67.4419,ortholog_many2many,11
Wban_11160,H2BC1,67.4419,ortholog_many2many,11
Wban_11160,H2BC4,67.4419,ortholog_many2many,11
Wban_11160,H2BC5,67.4419,ortholog_many2many,11
Wban_11160,H2BC6,67.4419,ortholog_many2many,11
Wban_11160,H2BC10,67.4419,ortholog_many2many,11
TTRE1343,FOXD4L3,9.0312,ortholog_many2many,5
TTRE1343,FOXD4L4,9.0312,ortholog_many2many,5
TTRE1343,FOXD4L6,9.0312,ortholog_many2many,5
TTRE1343,FOXD4L1,9.0312,ortholog_many2many,5
TTRE1343,FOXD4L5,9.0312,ortholog_many2many,5
Wban_01806,FOXD4,13.1086,ortholog_many2many,5
Wban_01806,FOXD4L3,13.1086,ortholog_many2many,5
Wban_01806,FOXD4L4,13.1086,ortholog_many2many,5
Wban_01806,FOXD4L6,13.1086,ortholog_many2many,5
Wban_01806,FOXD4L5,13.1086,ortholog_many2many,5
TTRE5304,NOTCH2NLR,2.98103,ortholog_many2many,4
TTRE5304,NOTCH2NLA,2.98103,ortholog_many2many,4
TTRE5304,NOTCH2NLC,2.98103,ortholog_many2many,4
TTRE5304,NOTCH2NLB,2.98103,ortholog_many2many,4
TTRE5332,NOTCH2NLR,2.68817,ortholog_many2many,4
TTRE5332,NOTCH2NLA,2.68817,ortholog_many2many,4
TTRE5332,NOTCH2NLC,2.68817,ortholog_many2many,4
TTRE5332,NOTCH2NLB,2.68817,ortholog_many2many,4
TTRE8523,NOTCH2NLR,2.60163,ortholog_many2many,4
TTRE8523,NOTCH2NLA,2.60163,ortholog_many2many,4
TTRE8523,NOTCH2NLC,2.60163,ortholog_many2many,4
TTRE8523,NOTCH2NLB,2.60163,ortholog_many2many,4
TTRE8712,NOTCH2NLR,3.2641,ortholog_many2many,4
TTRE8712,NOTCH2NLA,3.2641,ortholog_many2many,4
TTRE8712,NOTCH2NLC,3.2641,ortholog_many2many,4
TTRE8712,NOTCH2NLB,3.2641,ortholog_many2many,4
