Gene stable ID	is_gpcr	is_gpcr_evidence
TTRE1	False	Encodes protein that lacks InterPro GPCR domains
TTRE10	False	Encodes protein that lacks InterPro GPCR domains
TTRE100	False	Encodes protein that lacks InterPro GPCR domains
TTRE1000	False	Encodes protein that lacks InterPro GPCR domains
TTRE10000	False	Encodes protein that lacks InterPro GPCR domains
TTRE10001	False	Encodes protein that lacks InterPro GPCR domains
TTRE10002	False	Encodes protein that lacks InterPro GPCR domains
TTRE10003	False	Encodes protein that lacks InterPro GPCR domains
TTRE10004	False	Encodes protein that lacks InterPro GPCR domains
TTRE10005	False	Encodes protein that lacks InterPro GPCR domains
TTRE10006	False	Encodes protein that lacks InterPro GPCR domains
TTRE10007	False	Encodes protein that lacks InterPro GPCR domains
TTRE10008	False	Encodes protein that lacks InterPro GPCR domains
TTRE10009	False	Encodes protein that lacks InterPro GPCR domains
TTRE1001	False	Encodes protein that lacks InterPro GPCR domains
TTRE10010	False	Encodes protein that lacks InterPro GPCR domains
TTRE10011	False	Encodes protein that lacks InterPro GPCR domains
TTRE10012	False	Encodes protein that lacks InterPro GPCR domains
TTRE10013	False	Encodes protein that lacks InterPro GPCR domains
TTRE10014	False	Encodes protein that lacks InterPro GPCR domains
TTRE10015	False	Encodes protein that lacks InterPro GPCR domains
TTRE10016	False	Encodes protein that lacks InterPro GPCR domains
TTRE10017	False	Encodes protein that lacks InterPro GPCR domains
TTRE10018	False	Encodes protein that lacks InterPro GPCR domains
TTRE10019	False	Encodes protein that lacks InterPro GPCR domains
TTRE1002	False	Encodes protein that lacks InterPro GPCR domains
TTRE10020	False	Encodes protein that lacks InterPro GPCR domains
TTRE10021	False	Encodes protein that lacks InterPro GPCR domains
TTRE10022	False	Encodes protein that lacks InterPro GPCR domains
TTRE10023	False	Encodes protein that lacks InterPro GPCR domains
TTRE10024	False	Encodes protein that lacks InterPro GPCR domains
TTRE10026	False	Encodes protein that lacks InterPro GPCR domains
TTRE10027	False	Encodes protein that lacks InterPro GPCR domains
TTRE10028	False	Encodes protein that lacks InterPro GPCR domains
TTRE10029	False	Encodes protein that lacks InterPro GPCR domains
TTRE1003	False	Encodes protein that lacks InterPro GPCR domains
TTRE10030	False	Encodes protein that lacks InterPro GPCR domains
TTRE10031	False	Encodes protein that lacks InterPro GPCR domains
TTRE10032	False	Encodes protein that lacks InterPro GPCR domains
TTRE10033	False	Encodes protein that lacks InterPro GPCR domains
TTRE10034	False	Encodes protein that lacks InterPro GPCR domains
TTRE10035	False	Encodes protein that lacks InterPro GPCR domains
TTRE10036	False	Encodes protein that lacks InterPro GPCR domains
TTRE10037	False	Encodes protein that lacks InterPro GPCR domains
TTRE10038	False	Encodes protein that lacks InterPro GPCR domains
TTRE10039	False	Encodes protein that lacks InterPro GPCR domains
TTRE1004	False	Encodes protein that lacks InterPro GPCR domains
TTRE10040	False	Encodes protein that lacks InterPro GPCR domains
TTRE10041	False	Encodes protein that lacks InterPro GPCR domains
TTRE10042	False	Encodes protein that lacks InterPro GPCR domains
TTRE10043	False	Encodes protein that lacks InterPro GPCR domains
TTRE10044	False	Encodes protein that lacks InterPro GPCR domains
TTRE10045	False	Encodes protein that lacks InterPro GPCR domains
TTRE10046	False	Encodes protein that lacks InterPro GPCR domains
TTRE10047	False	Encodes protein that lacks InterPro GPCR domains
TTRE10048	False	Encodes protein that lacks InterPro GPCR domains
TTRE10049	False	Encodes protein that lacks InterPro GPCR domains
TTRE1005	False	Encodes protein that lacks InterPro GPCR domains
TTRE10050	False	Encodes protein that lacks InterPro GPCR domains
TTRE10051	False	Encodes protein that lacks InterPro GPCR domains
TTRE10052	False	Encodes protein that lacks InterPro GPCR domains
TTRE10053	False	Encodes protein that lacks InterPro GPCR domains
