Gene stable ID,Genome name,Transcript stable ID,Transcript biotype,Gene description,CDS_max
TTRE1,Trichuris trichiura (PRJEB535),TTRE1_t1,protein_coding,,1218
TTRE10,Trichuris trichiura (PRJEB535),TTRE10_t1,protein_coding,,1272
TTRE100,Trichuris trichiura (PRJEB535),TTRE100_t1,protein_coding,,1851
TTRE1000,Trichuris trichiura (PRJEB535),TTRE1000_t1,protein_coding,BTB 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZF74],972
TTRE10000,Trichuris trichiura (PRJEB535),TTRE10000_t1,protein_coding,,372
TTRE10001,Trichuris trichiura (PRJEB535),TTRE10001_t1,protein_coding,Transmembrane protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4F1],492
TTRE10002,Trichuris trichiura (PRJEB535),TTRE10002_t1,protein_coding,,1089
TTRE10003,Trichuris trichiura (PRJEB535),TTRE10003_t1,protein_coding,,633
TTRE10004,Trichuris trichiura (PRJEB535),TTRE10004_t1,protein_coding,,405
TTRE10005,Trichuris trichiura (PRJEB535),TTRE10005_t1,protein_coding,Coatomer subunit beta  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4D9],360
TTRE10006,Trichuris trichiura (PRJEB535),TTRE10006_t1,protein_coding,LEM and Ank domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0T0],1389
TTRE10007,Trichuris trichiura (PRJEB535),TTRE10007_t1,protein_coding,BRISC and BRCA1-A complex member 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1L2],1218
TTRE10008,Trichuris trichiura (PRJEB535),TTRE10008_t1,protein_coding,Peptidase C39 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZP3],780
TTRE10009,Trichuris trichiura (PRJEB535),TTRE10009_t1,protein_coding,Deoxyuridine 5'-triphosphate nucleotidohydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4D3],438
TTRE1001,Trichuris trichiura (PRJEB535),TTRE1001_t1,protein_coding,,840
TTRE10010,Trichuris trichiura (PRJEB535),TTRE10010_t1,protein_coding,RabGAP-TBC domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0S6],2184
TTRE10011,Trichuris trichiura (PRJEB535),TTRE10011_t1,protein_coding,,396
TTRE10012,Trichuris trichiura (PRJEB535),TTRE10012_t1,protein_coding,,1311
TTRE10013,Trichuris trichiura (PRJEB535),TTRE10013_t1,protein_coding,,522
TTRE10014,Trichuris trichiura (PRJEB535),TTRE10014_t1,protein_coding,PDZ domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1J9],1071
TTRE10015,Trichuris trichiura (PRJEB535),TTRE10015_t1,protein_coding,,1815
TTRE10016,Trichuris trichiura (PRJEB535),TTRE10016_t1,protein_coding,,2004
TTRE10017,Trichuris trichiura (PRJEB535),TTRE10017_t1,protein_coding,,2442
TTRE10018,Trichuris trichiura (PRJEB535),TTRE10018_t1,protein_coding,DS domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z365],1128
TTRE10019,Trichuris trichiura (PRJEB535),TTRE10019_t1,protein_coding,Serine  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4E9],1044
TTRE1002,Trichuris trichiura (PRJEB535),TTRE1002_t1,protein_coding,,759
TTRE10020,Trichuris trichiura (PRJEB535),TTRE10020_t1,protein_coding,,1881
TTRE10021,Trichuris trichiura (PRJEB535),TTRE10021_t1,protein_coding,,561
TTRE10022,Trichuris trichiura (PRJEB535),TTRE10022_t1,protein_coding,Hsp90 chaperone protein kinase-targeting subunit  [Source:UniProtKB/TrEMBL;Acc:A0A077Z357],1008
TTRE10023,Trichuris trichiura (PRJEB535),TTRE10023_t1,protein_coding,,543
TTRE10024,Trichuris trichiura (PRJEB535),TTRE10024_t1,protein_coding,,291
TTRE10026,Trichuris trichiura (PRJEB535),TTRE10026_t1,protein_coding,,300
TTRE10027,Trichuris trichiura (PRJEB535),TTRE10027_t1,protein_coding,,1434
TTRE10028,Trichuris trichiura (PRJEB535),TTRE10028_t1,protein_coding,,933
TTRE10029,Trichuris trichiura (PRJEB535),TTRE10029_t1,protein_coding,,348
TTRE1003,Trichuris trichiura (PRJEB535),TTRE1003_t1,protein_coding,Tyrosine protein kinase dnt  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0R9],1782
TTRE10030,Trichuris trichiura (PRJEB535),TTRE10030_t1,protein_coding,,306
TTRE10031,Trichuris trichiura (PRJEB535),TTRE10031_t1,protein_coding,,1074
TTRE10032,Trichuris trichiura (PRJEB535),TTRE10032_t1,protein_coding,,603
TTRE10033,Trichuris trichiura (PRJEB535),TTRE10033_t1,protein_coding,,240
TTRE10034,Trichuris trichiura (PRJEB535),TTRE10034_t1,protein_coding,,4803
TTRE10035,Trichuris trichiura (PRJEB535),TTRE10035_t1,protein_coding,,405
TTRE10036,Trichuris trichiura (PRJEB535),TTRE10036_t1,protein_coding,,699
TTRE10037,Trichuris trichiura (PRJEB535),TTRE10037_t1,protein_coding,Coronin  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFS4],612
TTRE10038,Trichuris trichiura (PRJEB535),TTRE10038_t1,protein_coding,,282
TTRE10039,Trichuris trichiura (PRJEB535),TTRE10039_t1,protein_coding,,225
TTRE1004,Trichuris trichiura (PRJEB535),TTRE1004_t2,protein_coding,,2493
TTRE10040,Trichuris trichiura (PRJEB535),TTRE10040_t1,protein_coding,,360
TTRE10041,Trichuris trichiura (PRJEB535),TTRE10041_t1,protein_coding,,345
TTRE10042,Trichuris trichiura (PRJEB535),TTRE10042_t1,protein_coding,,2409
TTRE10043,Trichuris trichiura (PRJEB535),TTRE10043_t2,protein_coding,,879
TTRE10044,Trichuris trichiura (PRJEB535),TTRE10044_t1,protein_coding,,1863
TTRE10045,Trichuris trichiura (PRJEB535),TTRE10045_t1,protein_coding,,1212
TTRE10046,Trichuris trichiura (PRJEB535),TTRE10046_t1,protein_coding,Organic cation transporter protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXM1],1722
TTRE10047,Trichuris trichiura (PRJEB535),TTRE10047_t1,protein_coding,Sugar tr domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXL1],1551
TTRE10048,Trichuris trichiura (PRJEB535),TTRE10048_t1,protein_coding,Cysteine and tyrosine-rich protein 1  [Source:UniProtKB/TrEMBL;Acc:A0A077YYI8],534
TTRE10049,Trichuris trichiura (PRJEB535),TTRE10049_t1,protein_coding,Forkhead box protein G1  [Source:UniProtKB/TrEMBL;Acc:A0A077YWV4],1149
TTRE1005,Trichuris trichiura (PRJEB535),TTRE1005_t1,protein_coding,,2457
TTRE10050,Trichuris trichiura (PRJEB535),TTRE10050_t1,protein_coding,PLAT domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXL6],420
TTRE10051,Trichuris trichiura (PRJEB535),TTRE10051_t1,protein_coding,,648
TTRE10052,Trichuris trichiura (PRJEB535),TTRE10052_t1,protein_coding,GTP binding protein yptV4  [Source:UniProtKB/TrEMBL;Acc:A0A077YXK5],558
TTRE10053,Trichuris trichiura (PRJEB535),TTRE10053_t1,protein_coding,Protein unc h protein unc g protein unc f prot ein unc d protein unc b  [Source:UniProtKB/TrEMBL;Acc:A0A077YYI4],4572
TTRE10054,Trichuris trichiura (PRJEB535),TTRE10054_t1,protein_coding,,1176
TTRE10055,Trichuris trichiura (PRJEB535),TTRE10055_t1,protein_coding,,615
TTRE10056,Trichuris trichiura (PRJEB535),TTRE10056_t1,protein_coding,,285
TTRE10057,Trichuris trichiura (PRJEB535),TTRE10057_t1,protein_coding,,1254
TTRE10058,Trichuris trichiura (PRJEB535),TTRE10058_t1,protein_coding,HLH domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YWT9],558
TTRE10059,Trichuris trichiura (PRJEB535),TTRE10059_t1,protein_coding,,1080
TTRE1006,Trichuris trichiura (PRJEB535),TTRE1006_t1,protein_coding,Leucine carboxyl methyltransferase 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7T6],1074
TTRE10060,Trichuris trichiura (PRJEB535),TTRE10060_t1,protein_coding,,336
TTRE10061,Trichuris trichiura (PRJEB535),TTRE10061_t1,protein_coding,,363
TTRE10062,Trichuris trichiura (PRJEB535),TTRE10062_t1,protein_coding,,264
TTRE10063,Trichuris trichiura (PRJEB535),TTRE10063_t1,protein_coding,,519
TTRE10064,Trichuris trichiura (PRJEB535),TTRE10064_t1,protein_coding,,507
TTRE10065,Trichuris trichiura (PRJEB535),TTRE10065_t1,protein_coding,,249
TTRE10066,Trichuris trichiura (PRJEB535),TTRE10066_t1,protein_coding,,381
TTRE10067,Trichuris trichiura (PRJEB535),TTRE10067_t1,protein_coding,,3669
TTRE10068,Trichuris trichiura (PRJEB535),TTRE10068_t1,protein_coding,,357
TTRE10069,Trichuris trichiura (PRJEB535),TTRE10069_t1,protein_coding,Dual specificity phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z283],570
TTRE1007,Trichuris trichiura (PRJEB535),TTRE1007_t1,protein_coding,,594
TTRE10070,Trichuris trichiura (PRJEB535),TTRE10070_t1,protein_coding,,384
TTRE10071,Trichuris trichiura (PRJEB535),TTRE10071_t1,protein_coding,Exosome complex exonuclease RRP44  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4K2],2874
TTRE10072,Trichuris trichiura (PRJEB535),TTRE10072_t1,protein_coding,Ubiquinol-cytochrome-c reductase complex assembly factor 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z278],372
TTRE10073,Trichuris trichiura (PRJEB535),TTRE10073_t1,protein_coding,Pilt domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z432],528
TTRE10074,Trichuris trichiura (PRJEB535),TTRE10074_t1,protein_coding,,672
TTRE10075,Trichuris trichiura (PRJEB535),TTRE10075_t1,protein_coding,,972
TTRE10076,Trichuris trichiura (PRJEB535),TTRE10076_t1,protein_coding,,2958
TTRE10077,Trichuris trichiura (PRJEB535),TTRE10077_t1,protein_coding,,2625
TTRE10078,Trichuris trichiura (PRJEB535),TTRE10078_t1,protein_coding,,3414
TTRE10079,Trichuris trichiura (PRJEB535),TTRE10079_t1,protein_coding,Transcription elongation factor 1 homolog  [Source:UniProtKB/TrEMBL;Acc:A0A077Z421],255
TTRE1008,Trichuris trichiura (PRJEB535),TTRE1008_t1,protein_coding,7TM GPCR Srsx domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXP3],1029
TTRE10080,Trichuris trichiura (PRJEB535),TTRE10080_t1,protein_coding,,609
TTRE10081,Trichuris trichiura (PRJEB535),TTRE10081_t1,protein_coding,TWiK family of potassium channels protein 9  [Source:UniProtKB/TrEMBL;Acc:A0A077Z264],2400
TTRE10082,Trichuris trichiura (PRJEB535),TTRE10082_t1,protein_coding,SAP30 binding protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7C5],867
TTRE10083,Trichuris trichiura (PRJEB535),TTRE10083_t1,protein_coding,,327
TTRE10084,Trichuris trichiura (PRJEB535),TTRE10084_t1,protein_coding,,402
TTRE10085,Trichuris trichiura (PRJEB535),TTRE10085_t1,protein_coding,,855
TTRE10086,Trichuris trichiura (PRJEB535),TTRE10086_t1,protein_coding,,615
TTRE10087,Trichuris trichiura (PRJEB535),TTRE10087_t1,protein_coding,,777
TTRE10088,Trichuris trichiura (PRJEB535),TTRE10088_t1,protein_coding,,306
TTRE10089,Trichuris trichiura (PRJEB535),TTRE10089_t1,protein_coding,,900
TTRE1009,Trichuris trichiura (PRJEB535),TTRE1009_t1,protein_coding,Ank domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8P6],2676
TTRE10090,Trichuris trichiura (PRJEB535),TTRE10090_t1,protein_coding,,1371
TTRE10091,Trichuris trichiura (PRJEB535),TTRE10091_t1,protein_coding,,1104
TTRE10092,Trichuris trichiura (PRJEB535),TTRE10092_t1,protein_coding,,10821
TTRE10093,Trichuris trichiura (PRJEB535),TTRE10093_t1,protein_coding,,1269
TTRE10094,Trichuris trichiura (PRJEB535),TTRE10094_t1,protein_coding,,8163
TTRE10095,Trichuris trichiura (PRJEB535),TTRE10095_t1,protein_coding,,3771
TTRE10096,Trichuris trichiura (PRJEB535),TTRE10096_t1,protein_coding,,312
TTRE10097,Trichuris trichiura (PRJEB535),TTRE10097_t1,protein_coding,,960
TTRE10098,Trichuris trichiura (PRJEB535),TTRE10098_t1,protein_coding,,2961
