Gene stable ID,is_enzyme_evidence,is_enzyme
Wban_00001,Does not have InterPro domains related to GO:0003824,False
Wban_00002,Does not have InterPro domains related to GO:0003824,False
Wban_00003,Does not have InterPro domains related to GO:0003824,False
Wban_00004,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR001806 - Small GTPase,True
Wban_00005,Does not have InterPro domains related to GO:0003824,False
Wban_00006,Does not have InterPro domains related to GO:0003824,False
Wban_00007,Does not have InterPro domains related to GO:0003824,False
Wban_00008,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000183 - Ornithine/DAP/Arg decarboxylase, IPR022643 - Orn/DAP/Arg decarboxylase 2, C-terminal, IPR009006 - Alanine racemase/group IV decarboxylase, C-terminal, IPR022644 - Orn/DAP/Arg decarboxylase 2, N-terminal",True
Wban_00009,Does not have InterPro domains related to GO:0003824,False
Wban_00010,Does not have InterPro domains related to GO:0003824,False
Wban_00011,Does not have InterPro domains related to GO:0003824,False
Wban_00012,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR014816 - tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14,True
Wban_00013,Does not have InterPro domains related to GO:0003824,False
Wban_00014,Does not have InterPro domains related to GO:0003824,False
Wban_00015,Does not have InterPro domains related to GO:0003824,False
Wban_00016,Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR000447 - FAD-dependent glycerol-3-phosphate dehydrogenase,True
Wban_00017,Does not have InterPro domains related to GO:0003824,False
Wban_00018,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR020892 - Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site, IPR002130 - Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain",True
Wban_00019,Does not have InterPro domains related to GO:0003824,False
Wban_00020,Does not have InterPro domains related to GO:0003824,False
Wban_00021,Does not have InterPro domains related to GO:0003824,False
Wban_00022,Does not have InterPro domains related to GO:0003824,False
Wban_00023,Does not have InterPro domains related to GO:0003824,False
Wban_00024,Does not have InterPro domains related to GO:0003824,False
Wban_00025,Does not have InterPro domains related to GO:0003824,False
Wban_00026,Does not have InterPro domains related to GO:0003824,False
Wban_00027,Does not have InterPro domains related to GO:0003824,False
Wban_00028,Does not have InterPro domains related to GO:0003824,False
Wban_00029,Does not have InterPro domains related to GO:0003824,False
Wban_00030,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR013128 - Peptidase C1A, IPR000668 - Peptidase C1A, papain C-terminal",True
Wban_00031,"Encodes protein with InterPro domain(s)  that are related to GO:0003824: IPR013128 - Peptidase C1A, IPR000668 - Peptidase C1A, papain C-terminal",True
Wban_00032,Does not have InterPro domains related to GO:0003824,False
Wban_00033,Does not have InterPro domains related to GO:0003824,False
Wban_00034,Does not have InterPro domains related to GO:0003824,False
Wban_00035,Does not have InterPro domains related to GO:0003824,False
Wban_00036,Does not have InterPro domains related to GO:0003824,False
Wban_00037,Does not have InterPro domains related to GO:0003824,False
