Gene stable ID,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,best_WBP_human_orthologue_lt_40pct_identity
TTRE1,,,,0.0,,True,True
TTRE10,,,,0.0,,True,True
TTRE100,ENSG00000109775,UFSP2,ortholog_one2one,25.487,33.4755,False,True
TTRE1000,ENSG00000110906,KCTD10,ortholog_one2many,46.4396,47.9233,False,False
TTRE10000,,,,0.0,,True,True
TTRE10001,,,,0.0,,True,True
TTRE10002,,,,0.0,,True,True
TTRE10003,,,,0.0,,True,True
TTRE10004,,,,0.0,,True,True
TTRE10005,,,,0.0,,True,True
TTRE10006,ENSG00000160117,ANKLE1,ortholog_one2one,31.1688,23.4146,False,True
TTRE10007,,,,0.0,,True,True
TTRE10008,ENSG00000188493,ACTMAP,ortholog_one2one,28.5714,21.0826,False,True
TTRE10009,ENSG00000128951,DUT,ortholog_one2one,67.5862,38.8889,False,False
TTRE1001,,,,0.0,,True,True
TTRE10010,ENSG00000068354,TBC1D25,ortholog_one2one,25.447,26.8895,False,True
TTRE10011,,,,0.0,,True,True
TTRE10012,ENSG00000106290,TAF6,ortholog_one2many,31.1927,20.0886,False,True
TTRE10013,,,,0.0,,True,True
TTRE10014,,,,0.0,,True,True
TTRE10015,ENSG00000113522,RAD50,ortholog_one2one,27.4834,12.6524,False,True
TTRE10016,,,,0.0,,True,True
TTRE10017,ENSG00000143393,PI4KB,ortholog_one2one,43.5424,43.3824,False,False
TTRE10018,ENSG00000095059,DHPS,ortholog_one2one,54.6667,55.5556,False,False
TTRE10019,ENSG00000130822,PNCK,ortholog_many2many,25.072,25.3644,False,True
TTRE1002,,,,0.0,,True,True
TTRE10020,ENSG00000126217,MCF2L,ortholog_many2many,12.7796,7.11111,False,True
TTRE10021,,,,0.0,,True,True
TTRE10022,ENSG00000106993,CDC37L1,ortholog_one2many,16.4179,16.3205,False,True
TTRE10023,,,,0.0,,True,True
TTRE10024,,,,0.0,,True,True
TTRE10026,,,,0.0,,True,True
TTRE10027,,,,0.0,,True,True
TTRE10028,,,,0.0,,True,True
TTRE10029,,,,0.0,,True,True
TTRE1003,ENSG00000163785,RYK,ortholog_one2one,32.8836,32.1252,False,True
TTRE10030,,,,0.0,,True,True
TTRE10031,,,,0.0,,True,True
TTRE10032,,,,0.0,,True,True
TTRE10033,,,,0.0,,True,True
TTRE10034,,,,0.0,,True,True
TTRE10035,,,,0.0,,True,True
TTRE10036,,,,0.0,,True,True
TTRE10037,ENSG00000102879,CORO1A,ortholog_many2many,43.3498,19.0889,False,False
TTRE10038,,,,0.0,,True,True
TTRE10039,,,,0.0,,True,True
TTRE1004,,,,0.0,,True,True
TTRE10040,,,,0.0,,True,True
TTRE10041,,,,0.0,,True,True
TTRE10042,ENSG00000081059,TCF7,ortholog_one2many,11.2219,23.4375,False,True
TTRE10043,,,,0.0,,True,True
TTRE10044,ENSG00000163110,PDLIM5,ortholog_one2many,20.9677,21.8121,False,True
TTRE10045,ENSG00000164093,PITX2,ortholog_one2one,28.2878,35.1852,False,True
TTRE10046,,,,0.0,,True,True
TTRE10047,,,,0.0,,True,True
TTRE10048,,,,0.0,,True,True
TTRE10049,ENSG00000184492,FOXD4L1,ortholog_many2many,20.4188,19.1176,False,True
TTRE1005,ENSG00000177731,FLII,ortholog_one2one,52.934,34.1214,False,False
TTRE10050,ENSG00000008710,PKD1,ortholog_one2many,27.3381,0.883105,False,True
TTRE10051,ENSG00000167578,RAB4B,ortholog_one2one,65.5814,66.1972,False,False
TTRE10052,,,,0.0,,True,True
TTRE10053,,,,0.0,,True,True
TTRE10054,,,,0.0,,True,True
TTRE10055,,,,0.0,,True,True
TTRE10056,,,,0.0,,True,True
TTRE10057,,,,0.0,,True,True
