wbps_gene_id,principal_transcript_id,principal_cds_length,principal_isoform_type,genome_name,gene_description,transcript_biotype,species
TTRE4256,TTRE4256_t1,1388.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2744,TTRE2744_t1,318.0,protein_coding,,Replication factor C subunit 3  [Source:UniProtKB/TrEMBL;Acc:A0A077YYG5],protein_coding,trtricprjeb535
TTRE4171,TTRE4171_t1,164.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11478,TTRE11478_t1,419.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8610,TTRE8610_t1,212.0,protein_coding,,Malate dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:A0A077YZW9],protein_coding,trtricprjeb535
TTRE5003,TTRE5003_t1,177.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1345,TTRE1345_t1,212.0,protein_coding,,Dopa decarboxylase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z312],protein_coding,trtricprjeb535
TTRE6825,TTRE6825_t1,223.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6898,TTRE6898_t1,1262.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9858,TTRE9858_t1,809.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4260,TTRE4260_t1,476.0,protein_coding,,Sjoegren syndrome  [Source:UniProtKB/TrEMBL;Acc:A0A077ZJ74],protein_coding,trtricprjeb535
TTRE7900,TTRE7900_t1,405.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11839,TTRE11839_t1,503.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE627,TTRE627_t1,485.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2453,TTRE2453_t1,236.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5991,TTRE5991_t1,716.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8676,TTRE8676_t1,488.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6599,TTRE6599_t1,479.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5705,TTRE5705_t1,900.0,protein_coding,,His Phos 1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCV0],protein_coding,trtricprjeb535
TTRE11417,TTRE11417_t1,689.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10347,TTRE10347_t1,127.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE261,TTRE261_t1,188.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7316,TTRE7316_t1,854.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5824,TTRE5824_t1,263.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE69,TTRE69_t1,463.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1678,TTRE1678_t1,277.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2695,TTRE2695_t1,695.0,protein_coding,,Tyrosine-protein phosphatase non-receptor type 9  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2Z0],protein_coding,trtricprjeb535
TTRE5746,TTRE5746_t2,360.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7587,TTRE7587_t1,1136.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11327,TTRE11327_t1,463.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7046,TTRE7046_t1,385.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1996,TTRE1996_t1,210.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7772,TTRE7772_t1,1184.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7510,TTRE7510_t1,2378.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7701,TTRE7701_t1,566.0,protein_coding,,guanylate kinase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZPK1],protein_coding,trtricprjeb535
TTRE886,TTRE886_t1,401.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2732,TTRE2732_t1,836.0,protein_coding,,Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z087],protein_coding,trtricprjeb535
TTRE1637,TTRE1637_t1,758.0,protein_coding,,"C-1-tetrahydrofolate synthase, cytoplasmic  [Source:UniProtKB/TrEMBL;Acc:A0A077Z6H2]",protein_coding,trtricprjeb535
TTRE8055,TTRE8055_t1,566.0,protein_coding,,Putative geminin  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5U0],protein_coding,trtricprjeb535
TTRE6777,TTRE6777_t1,1880.0,protein_coding,,ORC4_C domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDL0],protein_coding,trtricprjeb535
TTRE7456,TTRE7456_t1,689.0,protein_coding,,,protein_coding,trtricprjeb535
