Gene stable ID,Transcript biotype,Gene description,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,best_WBP_human_orthologue_lt_40pct_identity,is_enzyme,is_enzyme_ipID_desc
Wban_00001,protein_coding,C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DYR7],,,,0.0,,True,True,False,
Wban_00002,protein_coding,Mothers against decapentaplegic homolog  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FCU2],ENSG00000175387,SMAD2,ortholog_one2many,53.0488,55.8887,False,False,False,
Wban_00003,protein_coding,,,,,0.0,,True,True,False,
Wban_00004,protein_coding,Small monomeric GTPase  [Source:UniProtKB/TrEMBL;Acc:J9BKU6],ENSG00000069974,RAB27A,ortholog_one2one,60.5634,58.371,False,False,True,IPR001806_Small GTPase
Wban_00005,protein_coding,Unconventional prefoldin RPB5 interactor  [Source:UniProtKB/TrEMBL;Acc:J9FL41],ENSG00000105176,URI1,ortholog_one2one,20.0,17.1963,False,True,False,
Wban_00006,protein_coding,TAFII28-like protein domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9F669],ENSG00000064995,TAF11,ortholog_one2many,25.0,34.1232,False,True,False,
Wban_00007,protein_coding,NAD(P)-binding domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7GJZ3],,,,0.0,,True,True,False,
Wban_00008,protein_coding,,ENSG00000115758,ODC1,ortholog_one2many,23.6786,24.295,False,True,True,"IPR022643_Orn/DAP/Arg decarboxylase 2, C-terminal, IPR009006_Alanine racemase/group IV decarboxylase, C-terminal, IPR022644_Orn/DAP/Arg decarboxylase 2, N-terminal, IPR000183_Ornithine/DAP/Arg decarboxylase"
Wban_00009,protein_coding,,,,,0.0,,True,True,False,
Wban_00010,protein_coding,CARMIL pleckstrin homology domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7EWT5],ENSG00000186648,CARMIL3,ortholog_many2many,24.5265,18.8776,False,True,False,
Wban_00011,protein_coding,,ENSG00000131475,VPS25,ortholog_one2one,44.8864,44.8864,False,False,False,
Wban_00012,protein_coding,tRNA (adenine(58)-N(1))-methyltransferase  [Source:UniProtKB/TrEMBL;Acc:J9EM50],ENSG00000166166,TRMT61A,ortholog_one2one,41.2639,38.4083,False,False,True,IPR014816_tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14
Wban_00013,protein_coding,,,,,0.0,,True,True,False,
Wban_00014,protein_coding,AN1-type zinc finger protein 5  [Source:UniProtKB/TrEMBL;Acc:J9F7N9],ENSG00000086666,ZFAND6,ortholog_one2many,32.1586,35.0962,False,True,False,
Wban_00015,protein_coding,,ENSG00000183856,IQGAP3,ortholog_one2many,20.3306,15.0828,False,True,False,
Wban_00016,protein_coding,Glycerol-3-phosphate dehydrogenase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FQZ9],ENSG00000115159,GPD2,ortholog_one2one,55.9066,55.9835,False,False,True,IPR000447_FAD-dependent glycerol-3-phosphate dehydrogenase
Wban_00017,protein_coding,Fibronectin type-III domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DNZ5],,,,0.0,,True,True,False,
Wban_00018,protein_coding,Peptidyl-prolyl cis-trans isomerase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DVE4],ENSG00000196262,PPIA,ortholog_many2many,48.9083,67.8788,False,False,True,"IPR002130_Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain, IPR020892_Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
Wban_00019,protein_coding,Ig-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EFX4],,,,0.0,,True,True,False,
Wban_00020,protein_coding,,ENSG00000064651,SLC12A2,ortholog_many2many,32.7706,27.2277,False,True,False,
Wban_00021,protein_coding,,,,,0.0,,True,True,False,
Wban_00022,protein_coding,NDRG3 protein  [Source:UniProtKB/TrEMBL;Acc:J9EG05],ENSG00000101079,NDRG3,ortholog_one2many,28.9855,26.6667,False,True,False,
Wban_00023,protein_coding,CID domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EQJ3],ENSG00000213079,SCAF8,ortholog_one2many,23.2126,19.6696,False,True,False,
Wban_00024,protein_coding,,,,,0.0,,True,True,False,
Wban_00025,protein_coding,AB hydrolase-1 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XVI0],ENSG00000140526,ABHD2,ortholog_one2one,35.6808,35.7647,False,True,False,
Wban_00026,protein_coding,,ENSG00000001631,KRIT1,ortholog_one2one,26.7409,26.087,False,True,False,
Wban_00027,protein_coding,MSP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7ED49],,,,0.0,,True,True,False,
Wban_00028,protein_coding,,,,,0.0,,True,True,False,
Wban_00029,protein_coding,Ribosomal protein L35  [Source:UniProtKB/TrEMBL;Acc:J9EGF1],ENSG00000114391,RPL24,ortholog_one2one,59.375,60.5096,False,False,False,
Wban_00030,protein_coding,,,,,0.0,,True,True,True,"IPR013128_Peptidase C1A, IPR000668_Peptidase C1A, papain C-terminal"
Wban_00031,protein_coding,,,,,0.0,,True,True,True,"IPR013128_Peptidase C1A, IPR000668_Peptidase C1A, papain C-terminal"
Wban_00032,protein_coding,,,,,0.0,,True,True,False,
Wban_00033,protein_coding,,,,,0.0,,True,True,False,
Wban_00034,protein_coding,,,,,0.0,,True,True,False,
Wban_00035,protein_coding,,,,,0.0,,True,True,False,
Wban_00036,protein_coding,,,,,0.0,,True,True,False,
Wban_00037,protein_coding,Immediate early response 3-interacting protein 1  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EEV9],ENSG00000134049,IER3IP1,ortholog_one2one,48.7805,48.7805,False,False,False,
Wban_00038,protein_coding,,ENSG00000090316,MAEA,ortholog_one2one,35.3808,36.3636,False,True,True,"IPR044063_Gid-type RING finger domain, IPR045098_Fyv10 family"
Wban_00039,protein_coding,,,,,0.0,,True,True,False,
Wban_00040,protein_coding,,ENSG00000124491,F13A1,ortholog_one2many,11.4959,21.3115,False,True,True,"IPR036238_Transglutaminase, C-terminal domain superfamily"
Wban_00041,protein_coding,ShKT domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EML5],ENSG00000158516,CPA2,ortholog_many2many,21.4838,33.1742,False,True,True,"IPR000834_Peptidase M14, carboxypeptidase A"
Wban_00042,protein_coding,,,,,0.0,,True,True,False,
Wban_00043,protein_coding,Phospholipase A2  [Source:UniProtKB/TrEMBL;Acc:J9EA09],,,,0.0,,True,True,True,IPR036444_Phospholipase A2 domain superfamily
Wban_00044,protein_coding,RNA-polymerase II-associated protein 3-like C-terminal domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9FG47],,,,0.0,,True,True,False,
Wban_00045,protein_coding,Exocyst complex component 5  [Source:UniProtKB/TrEMBL;Acc:J9BGA0],ENSG00000070367,EXOC5,ortholog_one2one,40.3683,40.2542,False,False,False,
Wban_00046,protein_coding,E3 ubiquitin-protein ligase  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ET92],ENSG00000159459,UBR1,ortholog_one2many,28.3403,31.0463,False,True,True,IPR039164_E3 ubiquitin-protein ligase UBR1-like
Wban_00047,protein_coding,,ENSG00000182606,TRAK1,ortholog_one2many,20.3791,13.5362,False,True,False,
Wban_00048,protein_coding,,,,,0.0,,True,True,False,
Wban_00049,protein_coding,,,,,0.0,,True,True,False,
Wban_00050,protein_coding,CRIB domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:J9EE24],ENSG00000183775,KCTD16,ortholog_many2many,15.3846,11.215,False,True,False,
Wban_00051,protein_coding,,,,,0.0,,True,True,False,
Wban_00052,protein_coding,,,,,0.0,,True,True,False,
Wban_00053,protein_coding,,,,,0.0,,True,True,False,
Wban_00054,protein_coding,,,,,0.0,,True,True,False,
Wban_00055,protein_coding,"Glycoprotein endo-alpha-1,2-mannosidase  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FLV5]",ENSG00000172469,MANEA,ortholog_one2many,40.8389,40.0433,False,False,True,IPR026071_Glycosyl hydrolase family 99
Wban_00056,protein_coding,Cation efflux family protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7DQ95],ENSG00000196660,SLC30A10,ortholog_many2many,30.5732,29.6907,False,True,False,
Wban_00057,protein_coding,F-box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7GJ82],,,,0.0,,True,True,False,
Wban_00058,protein_coding,Mitochondrial import inner membrane translocase subunit TIM44  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EDN8],ENSG00000104980,TIMM44,ortholog_one2one,36.5079,35.6195,False,True,False,
