Gene stable ID,is_gpcr_evidence,is_gpcr
TTRE1,Encodes protein that lacks InterPro GPCR domains,False
TTRE10,Encodes protein that lacks InterPro GPCR domains,False
TTRE100,Encodes protein that lacks InterPro GPCR domains,False
TTRE1000,Encodes protein that lacks InterPro GPCR domains,False
TTRE10000,Encodes protein that lacks InterPro GPCR domains,False
TTRE10001,Encodes protein that lacks InterPro GPCR domains,False
TTRE10002,Encodes protein that lacks InterPro GPCR domains,False
TTRE10003,Encodes protein that lacks InterPro GPCR domains,False
TTRE10004,Encodes protein that lacks InterPro GPCR domains,False
TTRE10005,Encodes protein that lacks InterPro GPCR domains,False
TTRE10006,Encodes protein that lacks InterPro GPCR domains,False
TTRE10007,Encodes protein that lacks InterPro GPCR domains,False
TTRE10008,Encodes protein that lacks InterPro GPCR domains,False
TTRE10009,Encodes protein that lacks InterPro GPCR domains,False
TTRE1001,Encodes protein that lacks InterPro GPCR domains,False
TTRE10010,Encodes protein that lacks InterPro GPCR domains,False
TTRE10011,Encodes protein that lacks InterPro GPCR domains,False
TTRE10012,Encodes protein that lacks InterPro GPCR domains,False
TTRE10013,Encodes protein that lacks InterPro GPCR domains,False
TTRE10014,Encodes protein that lacks InterPro GPCR domains,False
TTRE10015,Encodes protein that lacks InterPro GPCR domains,False
TTRE10016,Encodes protein that lacks InterPro GPCR domains,False
TTRE10017,Encodes protein that lacks InterPro GPCR domains,False
TTRE10018,Encodes protein that lacks InterPro GPCR domains,False
TTRE10019,Encodes protein that lacks InterPro GPCR domains,False
TTRE1002,Encodes protein that lacks InterPro GPCR domains,False
TTRE10020,Encodes protein that lacks InterPro GPCR domains,False
TTRE10021,Encodes protein that lacks InterPro GPCR domains,False
TTRE10022,Encodes protein that lacks InterPro GPCR domains,False
TTRE10023,Encodes protein that lacks InterPro GPCR domains,False
TTRE10024,Encodes protein that lacks InterPro GPCR domains,False
TTRE10026,Encodes protein that lacks InterPro GPCR domains,False
TTRE10027,Encodes protein that lacks InterPro GPCR domains,False
TTRE10028,Encodes protein that lacks InterPro GPCR domains,False
TTRE10029,Encodes protein that lacks InterPro GPCR domains,False
TTRE1003,Encodes protein that lacks InterPro GPCR domains,False
TTRE10030,Encodes protein that lacks InterPro GPCR domains,False
TTRE10031,Encodes protein that lacks InterPro GPCR domains,False
TTRE10032,Encodes protein that lacks InterPro GPCR domains,False
TTRE10033,Encodes protein that lacks InterPro GPCR domains,False
TTRE10034,Encodes protein that lacks InterPro GPCR domains,False
TTRE10035,Encodes protein that lacks InterPro GPCR domains,False
TTRE10036,Encodes protein that lacks InterPro GPCR domains,False
TTRE10037,Encodes protein that lacks InterPro GPCR domains,False
TTRE10038,Encodes protein that lacks InterPro GPCR domains,False
TTRE10039,Encodes protein that lacks InterPro GPCR domains,False
TTRE1004,Encodes protein that lacks InterPro GPCR domains,False
TTRE10040,Encodes protein that lacks InterPro GPCR domains,False
TTRE10041,Encodes protein that lacks InterPro GPCR domains,False
TTRE10042,Encodes protein that lacks InterPro GPCR domains,False
TTRE10043,Encodes protein that lacks InterPro GPCR domains,False
TTRE10044,Encodes protein that lacks InterPro GPCR domains,False
TTRE10045,Encodes protein that lacks InterPro GPCR domains,False
TTRE10046,Encodes protein that lacks InterPro GPCR domains,False
TTRE10047,Encodes protein that lacks InterPro GPCR domains,False
TTRE10048,Encodes protein that lacks InterPro GPCR domains,False
TTRE10049,Encodes protein that lacks InterPro GPCR domains,False
TTRE1005,Encodes protein that lacks InterPro GPCR domains,False
TTRE10050,Encodes protein that lacks InterPro GPCR domains,False
TTRE10051,Encodes protein that lacks InterPro GPCR domains,False
TTRE10052,Encodes protein that lacks InterPro GPCR domains,False
TTRE10053,Encodes protein that lacks InterPro GPCR domains,False
TTRE10054,Encodes protein that lacks InterPro GPCR domains,False
TTRE10055,Encodes protein that lacks InterPro GPCR domains,False
TTRE10056,Encodes protein that lacks InterPro GPCR domains,False
TTRE10057,Encodes protein that lacks InterPro GPCR domains,False
TTRE10058,Encodes protein that lacks InterPro GPCR domains,False
TTRE10059,Encodes protein that lacks InterPro GPCR domains,False
TTRE1006,Encodes protein that lacks InterPro GPCR domains,False
TTRE10060,Encodes protein that lacks InterPro GPCR domains,False
TTRE10061,Encodes protein that lacks InterPro GPCR domains,False
TTRE10062,Encodes protein that lacks InterPro GPCR domains,False
TTRE10063,Encodes protein that lacks InterPro GPCR domains,False
TTRE10064,Encodes protein that lacks InterPro GPCR domains,False
TTRE10065,Encodes protein that lacks InterPro GPCR domains,False
TTRE10066,Encodes protein that lacks InterPro GPCR domains,False
TTRE10067,Encodes protein that lacks InterPro GPCR domains,False
TTRE10068,Encodes protein that lacks InterPro GPCR domains,False
TTRE10069,Encodes protein that lacks InterPro GPCR domains,False
TTRE1007,Encodes protein that lacks InterPro GPCR domains,False
TTRE10070,Encodes protein that lacks InterPro GPCR domains,False
TTRE10071,Encodes protein that lacks InterPro GPCR domains,False
TTRE10072,Encodes protein that lacks InterPro GPCR domains,False
TTRE10073,Encodes protein that lacks InterPro GPCR domains,False
TTRE10074,Encodes protein that lacks InterPro GPCR domains,False
TTRE10075,Encodes protein that lacks InterPro GPCR domains,False
TTRE10076,Encodes protein that lacks InterPro GPCR domains,False
TTRE10077,Encodes protein that lacks InterPro GPCR domains,False
TTRE10078,Encodes protein that lacks InterPro GPCR domains,False
TTRE10079,Encodes protein that lacks InterPro GPCR domains,False
TTRE1008,"Encodes protein with InterPro domain(s): IPR017452 - GPCR, rhodopsin-like, 7TM, IPR019424 - Serpentine type 7TM GPCR chemoreceptor Srsx",True
TTRE10080,Encodes protein that lacks InterPro GPCR domains,False
TTRE10081,Encodes protein that lacks InterPro GPCR domains,False
TTRE10082,Encodes protein that lacks InterPro GPCR domains,False
TTRE10083,Encodes protein that lacks InterPro GPCR domains,False
TTRE10084,Encodes protein that lacks InterPro GPCR domains,False
TTRE10085,Encodes protein that lacks InterPro GPCR domains,False
TTRE10086,Encodes protein that lacks InterPro GPCR domains,False
TTRE10087,Encodes protein that lacks InterPro GPCR domains,False
TTRE10088,Encodes protein that lacks InterPro GPCR domains,False
TTRE10089,Encodes protein that lacks InterPro GPCR domains,False
TTRE1009,Encodes protein that lacks InterPro GPCR domains,False
TTRE10090,Encodes protein that lacks InterPro GPCR domains,False
TTRE10091,Encodes protein that lacks InterPro GPCR domains,False
TTRE10092,Encodes protein that lacks InterPro GPCR domains,False
TTRE10093,Encodes protein that lacks InterPro GPCR domains,False
TTRE10094,Encodes protein that lacks InterPro GPCR domains,False
TTRE10095,Encodes protein that lacks InterPro GPCR domains,False
TTRE10096,Encodes protein that lacks InterPro GPCR domains,False
TTRE10097,Encodes protein that lacks InterPro GPCR domains,False
TTRE10098,Encodes protein that lacks InterPro GPCR domains,False
TTRE10099,Encodes protein that lacks InterPro GPCR domains,False
TTRE101,Encodes protein that lacks InterPro GPCR domains,False
TTRE1010,Encodes protein that lacks InterPro GPCR domains,False
TTRE10100,Encodes protein that lacks InterPro GPCR domains,False
TTRE10101,Encodes protein that lacks InterPro GPCR domains,False
TTRE10102,Encodes protein that lacks InterPro GPCR domains,False
TTRE10103,Encodes protein that lacks InterPro GPCR domains,False
TTRE10104,Encodes protein that lacks InterPro GPCR domains,False
TTRE10105,Encodes protein that lacks InterPro GPCR domains,False
TTRE10106,Encodes protein that lacks InterPro GPCR domains,False
TTRE10107,Encodes protein that lacks InterPro GPCR domains,False
TTRE10108,Encodes protein that lacks InterPro GPCR domains,False
TTRE10109,Encodes protein that lacks InterPro GPCR domains,False
TTRE1011,Encodes protein that lacks InterPro GPCR domains,False
TTRE10110,Encodes protein that lacks InterPro GPCR domains,False
TTRE10111,Encodes protein that lacks InterPro GPCR domains,False
TTRE10112,Encodes protein that lacks InterPro GPCR domains,False
TTRE10113,Encodes protein that lacks InterPro GPCR domains,False
TTRE10114,Encodes protein that lacks InterPro GPCR domains,False
TTRE10115,Encodes protein that lacks InterPro GPCR domains,False
TTRE10116,Encodes protein that lacks InterPro GPCR domains,False
TTRE10117,Encodes protein that lacks InterPro GPCR domains,False
TTRE10118,Encodes protein that lacks InterPro GPCR domains,False
TTRE10119,Encodes protein that lacks InterPro GPCR domains,False
TTRE1012,Encodes protein that lacks InterPro GPCR domains,False
TTRE10120,Encodes protein that lacks InterPro GPCR domains,False
TTRE10121,Encodes protein that lacks InterPro GPCR domains,False
TTRE10122,Encodes protein that lacks InterPro GPCR domains,False
TTRE10123,Encodes protein that lacks InterPro GPCR domains,False
TTRE10124,Encodes protein that lacks InterPro GPCR domains,False
TTRE10125,Encodes protein that lacks InterPro GPCR domains,False
TTRE10126,Encodes protein that lacks InterPro GPCR domains,False
TTRE10127,Encodes protein that lacks InterPro GPCR domains,False
TTRE10128,Encodes protein that lacks InterPro GPCR domains,False
TTRE10129,Encodes protein that lacks InterPro GPCR domains,False
TTRE1013,Encodes protein that lacks InterPro GPCR domains,False
TTRE10130,Encodes protein that lacks InterPro GPCR domains,False
TTRE10131,Encodes protein that lacks InterPro GPCR domains,False
TTRE10132,Encodes protein that lacks InterPro GPCR domains,False
TTRE10133,Encodes protein that lacks InterPro GPCR domains,False
TTRE10134,Encodes protein that lacks InterPro GPCR domains,False
TTRE10135,Encodes protein that lacks InterPro GPCR domains,False
TTRE10136,Encodes protein that lacks InterPro GPCR domains,False
TTRE10137,Encodes protein that lacks InterPro GPCR domains,False
TTRE10138,Encodes protein that lacks InterPro GPCR domains,False
TTRE10139,Encodes protein that lacks InterPro GPCR domains,False
TTRE1014,Encodes protein that lacks InterPro GPCR domains,False
TTRE10140,Encodes protein that lacks InterPro GPCR domains,False
TTRE10141,Encodes protein that lacks InterPro GPCR domains,False
TTRE10142,Encodes protein that lacks InterPro GPCR domains,False
TTRE10143,Encodes protein that lacks InterPro GPCR domains,False
TTRE10144,Encodes protein that lacks InterPro GPCR domains,False
TTRE10145,Encodes protein that lacks InterPro GPCR domains,False
TTRE10146,Encodes protein that lacks InterPro GPCR domains,False
TTRE10147,Encodes protein that lacks InterPro GPCR domains,False
TTRE10148,Encodes protein that lacks InterPro GPCR domains,False
TTRE10149,Encodes protein that lacks InterPro GPCR domains,False
TTRE1015,Encodes protein that lacks InterPro GPCR domains,False
TTRE10150,Encodes protein that lacks InterPro GPCR domains,False
TTRE10151,Encodes protein that lacks InterPro GPCR domains,False
TTRE10152,Encodes protein that lacks InterPro GPCR domains,False
TTRE10153,Encodes protein that lacks InterPro GPCR domains,False
TTRE10154,Encodes protein that lacks InterPro GPCR domains,False
TTRE10155,Encodes protein that lacks InterPro GPCR domains,False
TTRE10156,Encodes protein that lacks InterPro GPCR domains,False
TTRE10157,Encodes protein that lacks InterPro GPCR domains,False
TTRE10158,Encodes protein that lacks InterPro GPCR domains,False
TTRE10159,Encodes protein that lacks InterPro GPCR domains,False
TTRE1016,Encodes protein that lacks InterPro GPCR domains,False
TTRE10160,Encodes protein that lacks InterPro GPCR domains,False
TTRE10161,Encodes protein that lacks InterPro GPCR domains,False
TTRE10162,Encodes protein that lacks InterPro GPCR domains,False
TTRE10163,Encodes protein that lacks InterPro GPCR domains,False
TTRE10164,Encodes protein that lacks InterPro GPCR domains,False
TTRE10165,Encodes protein that lacks InterPro GPCR domains,False
TTRE10166,Encodes protein that lacks InterPro GPCR domains,False
TTRE10167,Encodes protein that lacks InterPro GPCR domains,False
TTRE10168,Encodes protein that lacks InterPro GPCR domains,False
TTRE10169,Encodes protein that lacks InterPro GPCR domains,False
TTRE1017,Encodes protein that lacks InterPro GPCR domains,False
TTRE10170,Encodes protein that lacks InterPro GPCR domains,False
TTRE10171,"Encodes protein with InterPro domain(s): IPR017452 - GPCR, rhodopsin-like, 7TM, IPR019427 - 7TM GPCR, serpentine receptor class w (Srw)",True
TTRE10172,Encodes protein that lacks InterPro GPCR domains,False
TTRE10173,Encodes protein that lacks InterPro GPCR domains,False
TTRE10174,Encodes protein that lacks InterPro GPCR domains,False
TTRE10175,Encodes protein that lacks InterPro GPCR domains,False
TTRE10176,Encodes protein that lacks InterPro GPCR domains,False
