Gene stable ID,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence
TTRE1,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE100,ENSG00000109775,UFSP2,ortholog_one2one,25.487,33.4755,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: UFSP2",True,Best human orthologue in WormBase ParaSite has < 40% identity: UFSP2 25.487%
TTRE1000,ENSG00000110906,KCTD10,ortholog_one2many,46.4396,47.9233,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: KCTD10",False,Best human orthologue found in WormBase Parasite has >= 40% identity: KCTD10 46.4396%
TTRE10000,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10001,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10002,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10003,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10004,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10005,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10006,ENSG00000160117,ANKLE1,ortholog_one2one,31.1688,23.4146,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ANKLE1",True,Best human orthologue in WormBase ParaSite has < 40% identity: ANKLE1 31.1688%
TTRE10007,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10008,ENSG00000188493,ACTMAP,ortholog_one2one,28.5714,21.0826,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ACTMAP",True,Best human orthologue in WormBase ParaSite has < 40% identity: ACTMAP 28.5714%
TTRE10009,ENSG00000128951,DUT,ortholog_one2one,67.5862,38.8889,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DUT",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DUT 67.5862%
TTRE1001,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10010,ENSG00000068354,TBC1D25,ortholog_one2one,25.447,26.8895,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TBC1D25",True,Best human orthologue in WormBase ParaSite has < 40% identity: TBC1D25 25.447%
TTRE10011,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10012,ENSG00000106290,TAF6,ortholog_one2many,31.1927,20.0886,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TAF6",True,Best human orthologue in WormBase ParaSite has < 40% identity: TAF6 31.1927%
TTRE10013,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10014,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10015,ENSG00000113522,RAD50,ortholog_one2one,27.4834,12.6524,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RAD50",True,Best human orthologue in WormBase ParaSite has < 40% identity: RAD50 27.4834%
TTRE10016,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10017,ENSG00000143393,PI4KB,ortholog_one2one,43.5424,43.3824,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PI4KB",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PI4KB 43.5424%
TTRE10018,ENSG00000095059,DHPS,ortholog_one2one,54.6667,55.5556,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DHPS",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DHPS 54.6667%
TTRE10019,ENSG00000130822,PNCK,ortholog_many2many,25.072,25.3644,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PNCK",True,Best human orthologue in WormBase ParaSite has < 40% identity: PNCK 25.072%
TTRE1002,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10020,ENSG00000126217,MCF2L,ortholog_many2many,12.7796,7.11111,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MCF2L",True,Best human orthologue in WormBase ParaSite has < 40% identity: MCF2L 12.7796%
TTRE10021,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10022,ENSG00000106993,CDC37L1,ortholog_one2many,16.4179,16.3205,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CDC37L1",True,Best human orthologue in WormBase ParaSite has < 40% identity: CDC37L1 16.4179%
TTRE10023,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10024,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10026,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10027,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10028,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10029,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1003,ENSG00000163785,RYK,ortholog_one2one,32.8836,32.1252,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RYK",True,Best human orthologue in WormBase ParaSite has < 40% identity: RYK 32.8836%
TTRE10030,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10031,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10032,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10033,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10034,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10035,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10036,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10037,ENSG00000102879,CORO1A,ortholog_many2many,43.3498,19.0889,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CORO1A",False,Best human orthologue found in WormBase Parasite has >= 40% identity: CORO1A 43.3498%
TTRE10038,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10039,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE1004,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10040,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10041,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10042,ENSG00000081059,TCF7,ortholog_one2many,11.2219,23.4375,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TCF7",True,Best human orthologue in WormBase ParaSite has < 40% identity: TCF7 11.2219%
TTRE10043,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10044,ENSG00000163110,PDLIM5,ortholog_one2many,20.9677,21.8121,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PDLIM5",True,Best human orthologue in WormBase ParaSite has < 40% identity: PDLIM5 20.9677%
