Genome project,Gene stable ID,Transcript stable ID,Protein stable ID,Gene description,Human gene stable ID,Human gene name,Human protein stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene name,Caenorhabditis elegans (PRJNA13758) [WS290] protein stable ID
wuchereria_bancrofti_prjna275548,Wban_00003,mrna-Wban_00003,mrna-Wban_00003,,,,,WBGene00017886,mfsd-13.1,F28B3.5a.1
wuchereria_bancrofti_prjna275548,Wban_00021,mrna-Wban_00021,mrna-Wban_00021,,,,,WBGene00000622,col-45,F53G12.7a.1
wuchereria_bancrofti_prjna275548,Wban_00035,mrna-Wban_00035,mrna-Wban_00035,,,,,WBGene00012164,W01A8.2,W01A8.2a.1
wuchereria_bancrofti_prjna275548,Wban_00036,mrna-Wban_00036,mrna-Wban_00036,,,,,WBGene00007024,plin-1,W01A8.1c.1
wuchereria_bancrofti_prjna275548,Wban_00042,mrna-Wban_00042,mrna-Wban_00042,,,,,WBGene00013960,cutl-8,ZK265.8a.1
wuchereria_bancrofti_prjna275548,Wban_00043,mrna-Wban_00043,mrna-Wban_00043,Phospholipase A2  [Source:UniProtKB/TrEMBL;Acc:J9EA09],,,,WBGene00013127,Y52B11A.8,Y52B11A.8.1
wuchereria_bancrofti_prjna275548,Wban_00043,mrna-Wban_00043,mrna-Wban_00043,Phospholipase A2  [Source:UniProtKB/TrEMBL;Acc:J9EA09],,,,WBGene00015202,B0478.3,B0478.3.1
wuchereria_bancrofti_prjna275548,Wban_00048,mrna-Wban_00048,mrna-Wban_00048,,,,,WBGene00000050,acr-11,D2092.3.1
wuchereria_bancrofti_prjna275548,Wban_00051,mrna-Wban_00051,mrna-Wban_00051,,,,,WBGene00003601,nhr-2,C32F10.6.1
wuchereria_bancrofti_prjna275548,Wban_00074,mrna-Wban_00074,mrna-Wban_00074,RhoGAP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FIC0],,,,WBGene00305050,Y92H12BL.7,Y92H12BL.7.1
wuchereria_bancrofti_prjna275548,Wban_00074,mrna-Wban_00074,mrna-Wban_00074,RhoGAP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A3P7FIC0],,,,WBGene00022367,Y92H12BM.1,Y92H12BM.1.1
wuchereria_bancrofti_prjna275548,Wban_00094,mrna-Wban_00094,mrna-Wban_00094,,,,,WBGene00021734,Y50C1A.2,Y50C1A.2.1
wuchereria_bancrofti_prjna275548,Wban_00097,mrna-Wban_00097,mrna-Wban_00097,,,,,WBGene00000540,cln-3.2,C01G8.2.1
wuchereria_bancrofti_prjna275548,Wban_00104,mrna-Wban_00104,mrna-Wban_00104,,,,,WBGene00003842,oct-1,F52F12.1a.1
wuchereria_bancrofti_prjna275548,Wban_00105,mrna-Wban_00105,mrna-Wban_00105,,,,,WBGene00002977,lev-10,Y105E8A.7a.1
wuchereria_bancrofti_prjna275548,Wban_00111,mrna-Wban_00111,mrna-Wban_00111,BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XY33],,,,WBGene00016754,cebp-2,C48E7.11.1
wuchereria_bancrofti_prjna275548,Wban_00117,mrna-Wban_00117,mrna-Wban_00117,TM2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A183XXQ6],,,,WBGene00014118,ZK858.5,ZK858.5.1
wuchereria_bancrofti_prjna275548,Wban_00136,mrna-Wban_00136,mrna-Wban_00136,,,,,WBGene00018840,F54H5.3,F54H5.3.1
wuchereria_bancrofti_prjna275548,Wban_00160,mrna-Wban_00160,mrna-Wban_00160,,,,,WBGene00016289,lntl-1,C31H1.6a.1
wuchereria_bancrofti_prjna275548,Wban_00183,mrna-Wban_00183,mrna-Wban_00183,Protein kinase domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EIL1],,,,WBGene00003185,mek-1,K08A8.1a.1
wuchereria_bancrofti_prjna275548,Wban_00193,mrna-Wban_00193,mrna-Wban_00193,,,,,WBGene00006319,sup-10,R09G11.1.1
wuchereria_bancrofti_prjna275548,Wban_00197,mrna-Wban_00197,mrna-Wban_00197,,,,,WBGene00013790,Y116A8C.10,Y116A8C.10b.1
wuchereria_bancrofti_prjna275548,Wban_00214,mrna-Wban_00214,mrna-Wban_00214,[histone H4]-N-methyl-L-lysine(20) N-methyltransferase  [Source:UniProtKB/TrEMBL;Acc:J9FDT6],,,,WBGene00016313,set-4,C32D5.5.1
wuchereria_bancrofti_prjna275548,Wban_00219,mrna-Wban_00219,mrna-Wban_00219,G_PROTEIN_RECEP_F1_2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8EN79],,,,WBGene00017433,F13H6.5,F13H6.5.1
wuchereria_bancrofti_prjna275548,Wban_00225,mrna-Wban_00225,mrna-Wban_00225,Collagen triple helix repeat protein  [Source:UniProtKB/TrEMBL;Acc:A0A1I8ENC2],,,,WBGene00000746,col-173,F41C6.5.1
