Gene stable ID,principal_transcript_id,principal_cds_length,principal_isoform_type,gene_description,genome_name,transcript_biotype,species,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence
TTRE1,TTRE1_t1,196,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10,TTRE10_t1,603,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE100,TTRE100_t1,237,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000109775,UFSP2,ortholog_one2one,25.487,33.4755,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: UFSP2",True,Best human orthologue in WormBase ParaSite has < 40% identity: UFSP2 25.487%
TTRE1000,TTRE1000_t1,395,protein_coding,BTB 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZF74],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000110906,KCTD10,ortholog_one2many,46.4396,47.9233,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: KCTD10",False,Best human orthologue found in WormBase Parasite has >= 40% identity: KCTD10 46.4396%
TTRE10000,TTRE10000_t1,199,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10001,TTRE10001_t1,193,protein_coding,Transmembrane protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4F1],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10002,TTRE10002_t1,1088,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10003,TTRE10003_t1,632,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10004,TTRE10004_t1,404,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10005,TTRE10005_t1,199,protein_coding,Coatomer subunit beta  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4D9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10006,TTRE10006_t1,1388,protein_coding,LEM and Ank domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0T0],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000160117,ANKLE1,ortholog_one2one,31.1688,23.4146,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ANKLE1",True,Best human orthologue in WormBase ParaSite has < 40% identity: ANKLE1 31.1688%
TTRE10007,TTRE10007_t1,263,protein_coding,BRISC and BRCA1-A complex member 2  [Source:UniProtKB/TrEMBL;Acc:A0A077Z1L2],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE10008,TTRE10008_t1,502,protein_coding,Peptidase C39 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZP3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000188493,ACTMAP,ortholog_one2one,28.5714,21.0826,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ACTMAP",True,Best human orthologue in WormBase ParaSite has < 40% identity: ACTMAP 28.5714%
TTRE10009,TTRE10009_t1,307,protein_coding,Deoxyuridine 5'-triphosphate nucleotidohydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4D3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000128951,DUT,ortholog_one2one,67.5862,38.8889,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DUT",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DUT 67.5862%
TTRE1001,TTRE1001_t1,244,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
