Gene stable ID,Human gene name,% identity,Homology type
TTRE9147,,30.4878,ortholog_one2many
TTRE9147,MRPL23,30.4878,ortholog_one2many
Wban_02024,,30.719,ortholog_one2many
Wban_02024,MRPL23,30.719,ortholog_one2many
